# ⛔ 마스터 아카이브 — 아카이빙 정본(평소 로드 금지). 수정(덮어쓰기)·삭제 = 사용자 이중 허락 필수 / 새 ID 추가·순서 정리는 무권한 OK. 절차: apps/k/00_지침 §10 · 라우터 CLAUDE.md §기틀 보호. ↓ 다음 줄 = 컬럼 헤더, 그 아래 = 데이터(불변)
ID	대분류	한국어명	영문명	기준	변수 역할	사용하면 좋은 상황	GPT Image 2용 삽입 지시문	Gemini용 삽입 지시문	추천 조합	피해야 할 조합	시각 효과	감정 효과	왜곡/실패 리스크	강도	유사어/검색어	Gemini_NanoBanana2_예시장면_참고용	Gemini_NanoBanana2_ChatGPT지시문	Gemini_NanoBanana2_Gemini키워드	Gemini_NanoBanana2_효과	Gemini_NanoBanana2_리스크	Gemini_NanoBanana2_유사어	Gemini_비교판정	Gemini_분리인덱스필요	Gemini_메모
L11	렌즈 화각	70mm 짧은 망원	70mm Short Telephoto	70mm	렌즈/부드러운 압축 변수	인터뷰, 인물, 배경 정리, 살짝 압축된 영화적 화면	Use a 70mm short telephoto lens to gently compress the background and isolate the subject.	70mm short telephoto, gentle background compression, subject isolation	medium close-up, close-up, portrait, interview	wide environmental context, cramped interior	약한 배경 압축, 자연스러운 분리	차분함, 집중감, 정돈감	공간감이 줄어듦	Normal	70mm lens, short telephoto, portrait compression	A serious business executive sitting in a sleek modern office during a high-end corporate interview, city lights softly blurred outside the window.	Use a 70mm short telephoto lens to gently compress the background and isolate the subject.	short telephoto shot, 70mm lens, gently compressed background, clean subject isolation	차분함, 배경 정리, 인물 집중	공간감이 줄어듦	70mm lens, short telephoto	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
L12	렌즈 화각	85mm 인물 망원	85mm Portrait Lens	85mm	렌즈/인물 미화 변수	포트레이트, 뷰티, 얼굴 왜곡을 줄이고 배경을 분리하고 싶을 때	Use an 85mm portrait lens for flattering facial proportions, soft background separation, and elegant subject focus.	85mm portrait lens, flattering face, soft background separation, elegant focus	close-up, medium close-up, three-quarter view, shallow depth of field	tight indoor wide context, full-body in small room	얼굴 비율 안정, 배경 분리, 부드러운 압축	고급스러움, 친밀감, 우아함	거리 확보 필요, 공간 정보 감소	Normal	85mm lens, portrait lens, flattering portrait	A stunning beauty editorial portrait of a woman with elegant makeup, completely surrounded by soft pink roses.	Use an 85mm portrait lens for flattering facial proportions, soft background separation, and elegant subject focus.	shot on an 85mm portrait lens, flattering facial proportions, elegant soft background separation	고급스러운 인물감, 압축, 배경 분리	좁은 실내에서 거리 확보 어려움	85mm lens, portrait lens	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
L13	렌즈 화각	100mm/105mm 매크로	100mm Macro Lens	100–105mm	렌즈/디테일·접사 변수	제품, 뷰티, 피부, 사물 질감, 작은 디테일 강조	Use a 100mm macro lens to capture fine details, shallow depth of field, and precise close-up texture.	100mm macro lens, fine detail, shallow depth of field, precise texture	extreme close-up, product detail, beauty detail, soft light	wide scene context, fast action with deep focus	정밀한 질감, 얕은 심도, 디테일 집중	섬세함, 고급감, 감각성	초점 실패, 과도한 피부/표면 디테일	Strong	100mm macro, 105mm macro, macro detail	An extreme close-up of a single morning dewdrop resting perfectly on a vibrant green leaf, reflecting the rising sun in detail.	Use a 100mm macro lens to capture fine details, shallow depth of field, and precise close-up texture.	extreme macro close-up shot, 100mm macro lens, fine details, precise textures, shallow depth of field	섬세함, 정밀함, 디테일 강조	초점 맞추기 어려움, 지나친 디테일 노출	100mm macro, 105mm macro	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
L14	렌즈 화각	135mm 망원 인물	135mm Telephoto Portrait	135mm	렌즈/강한 인물 분리 변수	패션, 야외 인물, 뮤비, 강한 배경 압축과 고급 인물감	Use a 135mm telephoto lens for strong background compression, elegant portrait separation, and cinematic depth.	135mm telephoto lens, strong compression, elegant portrait separation, cinematic depth	medium close-up, full-body fashion, outdoor portrait, shallow depth	small indoor room, interactive POV	강한 배경 압축, 고급스러운 분리감	우아함, 거리감, 영화적 긴장	피사체와 거리가 멀어짐, 배경 맥락 감소	Strong	135mm lens, telephoto portrait, compressed background	A high-fashion model wearing an avant-garde black outfit, standing on a windswept rocky beach at sunset.	Use a 135mm telephoto lens for strong background compression, elegant portrait separation, and cinematic depth.	shot on a 135mm telephoto lens, strong background compression, elegant subject isolation	고급스러움, 거리감, 압축미	피사체와 거리가 멀어짐	135mm lens, telephoto portrait	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
L15	렌즈 화각	200mm 망원	200mm Telephoto Lens	200mm	렌즈/관찰·압축 변수	스포츠, 공연, 멀리서 자연스러운 인물 포착, 배경 단순화	Use a 200mm telephoto lens to isolate the subject from a distance with strong compression and a candid observational feel.	200mm telephoto lens, distant subject, strong compression, candid observation	sports shot, stage shot, candid portrait, compressed background	interactive close POV, cramped indoor scene	강한 압축, 배경 단순화, 멀리서 당긴 느낌	관찰감, 은밀함, 집중감	흔들림, 답답한 프레임, 공간감 상실	Strong	200mm lens, long lens, telephoto compression	A fierce female rock vocalist singing passionately into a vintage microphone on a dimly lit concert stage, background stage lights creating a hazy colorful glow.	Use a 200mm telephoto lens to isolate the subject from a distance with strong compression and a candid feel.	shot from a distance with a 200mm telephoto lens, narrow field of view, heavy background compression	관찰감, 압축, 배경 단순화	흔들림, 거리감, 답답한 프레임	200mm lens, long lens	유사/보강 후보	아니오	같은 ID의 카메라 변수로 해석 가능. 현재는 별도 인덱스 추가 없이 참고 컬럼으로 보존.
L16	렌즈 화각	300mm+ 슈퍼망원	Super Telephoto	300mm 이상	렌즈/극단적 거리 변수	야생, 스포츠, 달, 매우 먼 피사체, 극단적 압축감	Use a super-telephoto lens to capture a distant subject with intense compression and a very narrow field of view.	super telephoto lens, distant subject, intense compression, narrow field of view	wildlife shot, sports shot, moon shot, distant subject	close interaction, environmental storytelling	극단적 압축, 매우 좁은 시야	집중, 긴장, 관찰자 시점	공간감 거의 없음, 흔들림·초점 실패 위험	Extreme	300mm lens, 500mm lens, super telephoto	A majestic bald eagle soaring gracefully against a perfectly clear blue sky, every single feather sharply defined.	Use a super-telephoto lens to capture a distant subject with intense compression and a narrow field of view.	super-telephoto shot, intense image compression, flattened spatial depth	극단적 압축, 관찰자 시점	삼각대/안정화 필요, 공간감 거의 사라짐	300mm lens, 500mm lens, super telephoto	유사/보강 후보	아니오	같은 ID의 카메라 변수로 해석 가능. 현재는 별도 인덱스 추가 없이 참고 컬럼으로 보존.
S01	샷 크기	설정 샷	Establishing Shot	장소 전체를 먼저 보여줌	샷 크기/맥락 제시 변수	장면 시작, 장소 소개, 세계관 설명, 공간 관계 정리	Use an establishing shot that clearly shows the location, atmosphere, and spatial relationship before focusing on the subject.	establishing shot, location first, atmosphere, spatial relationship	wide lens, long shot, eye-level, overhead	emotion-heavy facial reaction, product detail only	장소와 맥락을 먼저 제공	질서, 정보성, 몰입 준비	인물 감정이 약해질 수 있음	Normal	establishing view, location shot, scene setter	A breathtaking panoramic view of a futuristic cyberpunk city at night, endless skyscrapers layered with massive neon holograms.	Begin with an establishing shot that clearly shows the location, atmosphere, and spatial relationship before focusing on the subject.	establishing shot, clear location and atmosphere presentation, wide environmental context	장소감, 맥락, 스케일	너무 길면 지루함	establishing view, location shot	유사/보강 후보	아니오	같은 ID의 카메라 변수로 해석 가능. 현재는 별도 인덱스 추가 없이 참고 컬럼으로 보존.
S02	샷 크기	익스트림 롱샷	Extreme Long Shot	인물이 아주 작고 배경이 주도	샷 크기/스케일 변수	고립감, 대자연, 도시, 전쟁, 재난, 거대한 공간 대비	Frame the subject as very small within a vast environment, emphasizing scale, isolation, and atmosphere.	extreme long shot, tiny subject, vast environment, scale, isolation	ultra wide lens, landscape, high angle, establishing shot	facial expression focus, detailed character emotion	거대한 스케일, 작은 피사체	고립, 장엄함, 압도감	주인공 식별과 감정 전달이 약함	Strong	ELS, extreme wide shot, tiny figure	A solitary wanderer trekking across a vast, empty snow-covered arctic landscape under a pale winter sun.	Frame the subject as very small within a vast environment, emphasizing scale, isolation, and atmosphere.	extreme long shot, subject framed as a tiny figure within a vast overwhelming environment, emphasizing scale and isolation	고립, 압도, 장엄함	인물 감정 전달 약함	ELS, extreme wide shot	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
S03	샷 크기	롱샷/와이드샷	Long Shot / Wide Shot	인물 전신과 주변 공간	샷 크기/행동·공간 변수	액션, 동선, 패션, 무대, 상황 설명	Use a wide shot showing the full body and surrounding environment, clearly presenting movement and spatial context.	wide shot, full body, surrounding environment, movement, spatial context	24mm lens, 35mm lens, full shot, eye-level	subtle facial micro-expression, product texture detail	전신과 공간 관계가 명확함	개방감, 행동감, 객관성	표정 디테일이 약함	Normal	long shot, wide shot, full environment	A martial artist captured in mid-kick executing a complex choreography inside a traditional wooden martial arts dojo.	Use a wide shot showing the full body and surrounding environment, clearly presenting movement and spatial context.	wide shot, long shot, full body and surrounding environment, clear movement and spatial context	동작과 공간 관계가 명확함	표정 디테일 약함	long shot, wide shot	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
S04	샷 크기	풀샷	Full Shot	인물 전신 중심	샷 크기/전체 실루엣 변수	룩북, 캐릭터 소개, 포즈, 댄스, 전신 의상 표현	Frame the full body of the subject from head to toe, keeping the silhouette, outfit, and pose clearly visible.	full shot, head-to-toe, full body, outfit visible, clear silhouette	35mm lens, 50mm lens, front-on, three-quarter view	close emotional portrait, tiny background figure	전신 실루엣과 의상이 선명함	캐릭터성, 자세, 스타일 강조	배경과 인물이 경쟁할 수 있음	Normal	full body shot, head-to-toe shot	A chic model posing for a streetwear lookbook in front of a minimalist concrete wall, wearing an oversized hoodie and modern sneakers.	Frame the full body of the subject from head to toe, keeping the character’s silhouette and outfit clearly visible.	full body shot, framing from head to toe, clear silhouette, outfit, and posture	캐릭터 전체 인상, 자세 강조	배경과 인물이 경쟁할 수 있음	full body shot, head-to-toe shot	유사/보강 후보	아니오	같은 ID의 카메라 변수로 해석 가능. 현재는 별도 인덱스 추가 없이 참고 컬럼으로 보존.
S05	샷 크기	미디엄 롱/카우보이샷	Medium Long / Cowboy Shot	무릎 또는 허벅지 위	샷 크기/몸짓·손동작 변수	대치, 서부극, 긴장감, 손동작 포함 인물, 액션 직전	Use a cowboy shot framing the subject from mid-thigh upward, balancing body language, hands, and facial expression.	cowboy shot, mid-thigh framing, body language, hands visible	35mm lens, 50mm lens, low angle, front-on or three-quarter	extreme close-up, pure landscape scene	몸짓·손·표정의 균형	긴장, 대치, 행동 준비감	프레임 기준이 애매해질 수 있음	Normal	American shot, medium long shot, mid-thigh shot	A rugged cowboy standing in the dusty main street of a deserted Western town, hands resting tensely near their belt holsters.	Use a cowboy shot framing the subject from mid-thigh upward, balancing body language, hands, and facial expression.	cowboy shot, medium long shot, framing from mid-thigh up, emphasizing body language and hand gestures	긴장, 대치, 행동 준비감	프레임 기준이 애매할 수 있음	American shot, medium long shot	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
S06	샷 크기	미디엄샷	Medium Shot	허리 위	샷 크기/대화 균형 변수	인터뷰, 대화, 일상 드라마, 정보 전달, 손짓 포함 인물	Use a medium shot from the waist up, balancing facial expression and hand gestures in a natural conversational frame.	medium shot, waist-up framing, face and gestures, conversational	35mm lens, 50mm lens, eye-level, OTS	grand scale landscape, tiny subject isolation	표정과 제스처가 균형 있게 보임	대화감, 안정감, 자연스러움	평범하거나 정보성 화면처럼 보일 수 있음	Subtle	MS, waist-up shot, conversational framing	Two best friends laughing and talking over iced coffee at a sunny outdoor Parisian cafe afternoon.	Use a medium shot from the waist up, balancing facial expression and hand gestures in a natural conversational frame.	medium shot, framed from the waist up, focusing on facial expressions and hand gestures	대화감, 안정감, 자연스러움	너무 평범해 보일 수 있음	MS, waist-up shot	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
S07	샷 크기	미디엄 클로즈업	Medium Close-Up	가슴~어깨 위	샷 크기/감정 집중 변수	감정 있는 인터뷰, 뉴스, 캐릭터 반응, 인물 중심 숏폼	Use a medium close-up from the chest upward, emphasizing facial emotion while retaining slight body context.	medium close-up, chest-up framing, facial emotion, slight body context	50mm lens, 70mm lens, 85mm lens, eye-level	full-body fashion detail, complex group hierarchy	얼굴 감정 중심, 약간의 몸 맥락 유지	친밀감, 신뢰감, 집중감	손동작과 자세 정보가 줄어듦	Normal	MCU, chest-up shot, talking head	A news anchor looking directly at the camera with a serious and empathetic expression, a softly blurred broadcast newsroom in the background.	Use a medium close-up from the chest upward, emphasizing facial emotion while retaining slight body context.	medium close-up, chest-up shot, emphasizing facial emotion and slight shoulder context	감정 집중, 친밀감	손동작/몸짓 정보 감소	MCU, chest-up shot	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
S08	샷 크기	클로즈업	Close-Up	얼굴 중심	샷 크기/감정 확대 변수	감정, 눈빛, 뷰티, 중요한 반응, 캐릭터 심리	Use a close-up shot centered on the face, emphasizing the eyes, expression, and emotional detail.	close-up shot, face centered, eyes, expression, emotional detail	70mm lens, 85mm lens, three-quarter view, shallow depth	ultra-wide lens near face, establishing shot	표정과 눈빛이 강하게 드러남	몰입, 친밀감, 감정 증폭	렌즈 선택이 나쁘면 얼굴 왜곡	Normal	CU, facial close-up, portrait close-up	A cinematic single tear rolling slowly down the cheek of an actor looking wistfully out a rainy window at night.	Use a close-up shot centered on the face, emphasizing the eyes, expression, and emotional detail.	close-up shot, centered on the face, capturing subtle emotional details of eyes and expression	친밀함, 몰입, 감정 증폭	렌즈 선택 잘못하면 얼굴 왜곡	CU, facial close-up	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
S09	샷 크기	빅 클로즈업	Big Close-Up / Tight CU	얼굴이 프레임을 꽉 채움	샷 크기/심리 압박 변수	강한 감정, 심리 압박, 뮤비, 광고, 극적 순간	Use a tight close-up that fills the frame with the face, creating intensity, intimacy, and emotional pressure.	tight close-up, face fills frame, intense emotion, intimate pressure	85mm lens, 100mm lens, dramatic light, eye-level	wide environmental storytelling, group relationship shot	프레임을 감정으로 가득 채움	압박, 긴장, 친밀함, 강도 높은 몰입	부담스럽거나 과장될 수 있음	Strong	tight close-up, big close-up, intense close-up	A intense, sweating face of a detective breathing heavily during a high-stakes interrogation, shadows casting sharp lines across their skin.	Use a tight close-up that fills the frame with the face, creating intensity, intimacy, and emotional pressure.	big close-up, tight close-up, face completely filling the frame, creating intense psychological pressure and intimacy	강한 압박, 감정 폭발	부담스럽거나 과장될 수 있음	tight close-up, big close-up	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
S10	샷 크기	익스트림 클로즈업	Extreme Close-Up	눈, 입술, 손, 물건 일부	샷 크기/디테일·상징 변수	제품 디테일, 상징 컷, 스릴러, 감각적 장면, 질감 강조	Use an extreme close-up focusing on a single detail such as an eye, lips, hand, texture, or object surface.	extreme close-up, single detail, eye, lips, hand, texture	macro lens, 100mm lens, shallow depth, insert shot	scene context, full body action, group dynamics	작은 디테일이 압도적으로 커짐	상징성, 긴장감, 감각성	맥락이 사라지고 초점 실패 가능	Strong	ECU, macro detail shot, insert detail	The intricate spinning gears and ticking escapement mechanism inside a luxury mechanical watch, golden metal reflecting pristine light.	Use an extreme close-up focusing on a single detail, such as an eye, lips, hand, texture, or object surface.	extreme close-up, focusing entirely on a single specific detail or macro texture	상징성, 긴장감, 감각성	맥락이 사라질 수 있음	ECU, macro detail shot, insert detail	유사/보강 후보	아니오	같은 ID의 카메라 변수로 해석 가능. 현재는 별도 인덱스 추가 없이 참고 컬럼으로 보존.
H01	카메라 높이	눈높이 샷	Eye-Level Shot	피사체 눈높이	높이/중립 시점 변수	대화, 인터뷰, 자연스러운 인물, 중립적 장면	Shoot at eye level to create a neutral, realistic, and emotionally balanced perspective.	eye-level shot, neutral perspective, realistic, balanced emotion	medium shot, close-up, 35mm or 50mm lens, front-on	power exaggeration, vulnerability exaggeration	가장 자연스럽고 안정적인 시야	신뢰감, 현실감, 중립성	너무 평범하게 보일 수 있음	Subtle	neutral angle, straight-on height, eye height	A friendly barista smiling warmly while handing over a freshly poured latte behind a rustic wooden coffee shop counter.	Shoot at eye level to create a neutral, realistic, and emotionally balanced perspective.	eye-level shot, straight-on camera height, neutral realistic emotionally balanced perspective	현실감, 중립성, 신뢰감	평범하게 보일 수 있음	neutral angle, straight-on height	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
