ID	한국어명	영문명	정의/기준	영상(Kling 멀티샷/후반) 적용	추천 상황	추천 조합	리스크/한계	비고
TR-17	아이라인 매치 컷	Eyeline Match	시선→그 대상으로 컷	멀티샷: 인물 시선 샷 → 대상 샷	시선 동기·관음·반응	COMP-20(아이라인)·R01(OTS)	두 샷 시선 방향 일치 필요	'무엇을 보는가' 공개
TR-18	컷어웨이/인서트	Cutaway / Insert	본 액션서 디테일로 빠짐	멀티샷 중 클로즈업 인서트 샷	정보 강조·시간 메움·반응	S08~S09(클로즈업)·M20	맥락 끊김 주의	손·시계·문서 디테일 강조
TR-19	몽타주	Montage (Soviet/Tonal/Rhythmic)	짧은 샷 연쇄로 의미·시간 압축	멀티샷 여러 컷 연쇄 + AU-07 빌드	시간 경과·과정·주제 축약	AU-07(빌드)·AU-17(비트싱크)	각 샷 일관성 부담	에이젠슈테인 5종. 톤·리듬·지적 몽타주
TR-20	교차 편집/평행	Cross-cutting / Parallel	두 장소 동시 진행 교차	멀티샷 A장면↔B장면 번갈아	긴장·대비·풍자 병치	COMP-22(병치)·AU-14	두 씬 일관성 2배 부담	'한쪽은 ~, 한쪽은 ~' 풍자 대조
TR-21	라이트 플래시 전환	Light Flash / Flash Cut	순간 강한 빛으로 전환	샷 경계 화이트 플래시(후반 안정)	충격·기억·카메라 플래시	FX-09(렌즈플레어)·TR-09	모델 직접 약함 → 후반	기자회견 플래시 세례 톤
TR-22	데이터모시/스미어 전환	Datamosh / Smear Transition	압축 손상으로 픽셀 번짐	후반 전용(S-22 글리치 친족)	디지털 붕괴·바이럴·실험	FX-06(글리치)·S-22	모델 미생성 — 후반 정밀	밈·디지털 풍자 시그니처
TR-23	쇼크 컷	Shock Cut	기대 배반하는 돌발 전환	샷 경계 극단 대비 + AU-05	공포·블랙코미디·반전	AU-06(급정지)·TR-05	남발 시 피로	조용→끔찍·평온→재난 풍자
TR-24	셰이프 매치 컷	Match-on-Shape	두 샷의 동일 윤곽/실루엣으로 봉합(TR-02 매치컷의 형태 특화)	멀티샷서 앞샷 끝 형태 = 뒷샷 첫 형태 일치 지시	은유·시각 운율·주제 연결	TR-02·TR-16(폼컷)·COMP-06	형태 정밀 매칭 어려움 → 후반 정렬	보름달→접시 류. TR-02/16과 형태 특화 구분
TR-25	사운드 브리지(선행/후행)	Sound Bridge	다음/이전 씬 소리가 컷을 가로질러 먼저·늦게 걸침(AU-10 L컷의 씬전환 확장)	Kling 멀티샷=후행 자동·선행은 후반 사운드 디자인	씬 봉합·예고·여운	AU-10(L컷)·TR-12·AU	선행 브리지 지정 미검증 → 후반	AU-10 친족(씬↔씬 단위). 소리로 미리/늦게 잇기
TR-26	애디티브 디졸브	Additive Dissolve	겹치는 두 샷이 밝게 가산 혼합되며 번지는 디졸브	후반 전용(TR-07 변종·하이라이트 폭발)	꿈·각성·과노출 전환	TR-07·FX-18(블룸)·TR-09	모델 미생성 → 후반 표준	디졸브 중간이 환하게 탐. 천국·회상 톤
TR-27	리플 디졸브	Ripple Dissolve	물결 일렁이며 넘어가는 디졸브(회상 관용)	후반 전용(레트로 회상 신호)	회상·꿈·시간 점프	TR-07·FX-22·AU-06	구식 톤 — 의도적 사용만	'~생각에 잠긴다' 물결 회상. 클리셰 주의
TR-28	글리치 컷	Glitch Cut	디지털 글리치 1~2프레임이 컷을 끊고 들어옴	후반(FX-06/S-22 친족·전환 타이밍에 삽입)	충격·디지털·바이럴	FX-06·S-22·TR-22	모델 직접 약함 → 후반 삽입	TR-22 데이터모시와 구분(순간 글리치 펀치). 밈 리듬
TR-29	번 트랜지션	Burn Transition	화면이 타들어가며(필름 번/광폭발) 넘어감	후반(FX-20 필름번·강한 화이트 경유)	기억·아날로그·격정	FX-20·TR-21·TR-09	모델 미생성 → 후반	필름이 타며 전환. 빈티지·격정 톤
TR-30	클락 와이프	Clock Wipe	시계바늘처럼 원형으로 쓸어 전환	후반(와이프 변종·구식)	시간 경과·레트로·만화적	TR-10(와이프)·STYLE07·TR-11	매우 구식 — 의도적 사용만	TR-10 와이프 원형 변종. 시간 흐름 도식
TR-31	아이리스 변종(하트/별)	Shaped Iris	원이 아닌 하트·별 모양 마스크 개폐	후반(TR-11 아이리스 형태 변종·카툰)	코믹·강조·감성 풍자	TR-11·FX-10(보케)·STYLE16	극도로 구식 — 풍자 한정	TR-11 변종. 하트 아이리스=오글 풍자
TR-32	스플릿 스크린 전환	Split-screen Wipe-in	화면이 분할되며 다른 샷이 밀려 들어옴	후반(분할 패널 슬라이드 인)	동시성·대비·다중 시점	TR-20(교차편집)·COMP-01·AR	모델 미생성 — 후반 합성	24式 멀티프레임. TR-20 교차편집의 동시 표시판
TR-33	스매시 투 블랙	Smash to Black	격렬한 순간 직후 즉각 암전으로 끊음	샷 끝 1프레임 암전(후반 정밀)+AU-06 급정지	펀치라인·충격·단절	AU-06·TR-09·TR-05	순간 타이밍 = 후반 전용	콜드오픈 끝·충격 마무리. TR-09(딥)와 구분(즉각·복귀無)
TR-34	페이드 투 화이트(의미)	Fade to White	흰색으로 천천히 사라짐 — 죽음·각성·정화 함의	후반(TR-08 화이트 버전·느린 화이트아웃)	죽음·각성·승천·정화	TR-08·FX-18·AU-02	후반 전용·블랙과 정서 정반대	블랙=단절/화이트=초월·소멸. 엔딩 정서 선택
TR-35	모션블러 휩 컷	Motion-blur Swish Cut	강한 모션블러로 한 번에 쓸어 컷(TR-14·M15보다 짧은 펀치)	샷 경계 짧은 블러 스매시(후반 안정)	에너지·펀치·리듬	TR-14·M15(휩팬)·AU-15	중간 뭉개짐(의도)·M15과 구분	TR-14/M15보다 더 짧고 거친 휩. 쇼츠 비트
TR-36	후킹 컷(콜드오픈)	Hook / Cold-open Cut	도입에 결말·하이라이트를 먼저 보여주고 끊음	멀티샷 첫 컷=절정 단편 → TR-33로 끊고 본편	어그로·궁금증·쇼츠 도입	TR-33·AU-05·V14(직캠)	맥락 없는 충격 = 낚시 피로	'3초 안에 잡아라' 쇼츠 관용. 결말 미리보기
TR-37	점프컷 몽타주(브이로그)	Jump-cut Montage	같은 화자/구도 점프컷 연쇄(말 압축·브이로그 관용)	동일 프레임 멀티샷 연쇄(TR-06 다발)	정보 압축·캐주얼·속도	TR-06·STYLE(브이로그)·V02	연속성 의도적 파괴 — 톤 한정	TR-06 점프컷의 연쇄판. 유튜버 토킹헤드 편집
TR-38	마스크/매트 전환	Mask / Matte Reveal	물체·인물 뒤로 지나가며 그 안에서 다른 샷 드러남	후반(TR-15 인비저블컷의 적극 연출판)	매끄러운 공간·디자인·원테이크	TR-15·M17(스테디캠)·COMP-12	정밀 합성 필요 → 후반	TR-15 친족(능동적 마스크 와이프). 물체가 닦아내듯 전환
TR-39	줌-펀치 전환	Zoom-punch Transition	급속 줌인/아웃으로 다음 샷에 충돌 진입	M14 크래시줌을 샷 경계에 배치+모션블러	에너지·강조·밈 리듬	M14(크래시줌)·TR-35·AU-05	과용 = 멀미·피로	크래시줌 전환판. 밈·쇼츠 강조 진입
TR-40	회상 디졸브	Flashback Dissolve	디졸브+색/광 변화로 과거 진입 신호	후반(TR-07+TR-27 회상 관용·탈채도/세피아)	회상·과거·기억	TR-07·TR-27·FM(필름룩)	모델 미생성 → 후반	'그때를 떠올린다' 정석. 톤 변화로 과거 명시
TR-41	시간경과 디졸브	Time-lapse Dissolve	연속 디졸브로 긴 시간 흐름 압축(낮→밤 등)	멀티샷 타임랩스 샷들+후반 디졸브 연결	시간 경과·과정·계절	TR-07·M21(타임랩스)·TR-19	디졸브는 후반·샷 일관성 부담	'며칠이 흐른다'. M21 타임랩스와 세트
