ID	대분류	한국어명	영문명	기준	변수 역할	사용하면 좋은 상황	GPT Image 2용 삽입 지시문	Gemini/Nano Banana 2용 삽입 지시문	추천 조합	피해야 할 조합	시각 효과	감정 효과	왜곡/실패 리스크	강도	유사어/검색어	검증 상태	분리 인덱스 필요	메모
STYLE27	화풍/스타일	뉴스릴·아카이브	Newsreel / Archive Footage	보도·기록 영상 룩	화풍 변수	가짜 기록물 풍자, 모큐멘터리	Emulate vintage newsreel archive footage with desaturated tones, slight gate flicker, and an official documentary feel.	newsreel footage, archive film, desaturated, documentary record feel	STYLE08(다큐) + V13(방송 중계) + LIGHT03	클린 시네마틱 그레이딩	기록물의 권위(패러디)	권위 풍자	NEG05(고화질)와 모순 — 빼기	Strong	newsreel, archival footage	리서치⚪(260613) — 미실측	아니오	가짜 보도 오인 방지 — AI 표기 오버레이(§8) 필수 전제
STYLE28	화풍/스타일	플랫 인포그래픽 모션	Flat Infographic Motion	벡터 플랫 설명 그래픽	화풍 변수	시사 설명 영상, 수치·구조 해설	Render as flat vector infographic animation with simple geometric characters, clean icons, and solid color backgrounds.	flat vector infographic style, simple geometric characters, clean minimal icons	STYLE13(셀 셰이딩) + LIGHT15(하이키)	실사·필름 그레인	정보의 도식화	명료, 중립	글자·아이콘 정확도 한계	Strong	infographic animation, motion graphics	리서치⚪(260613) — 미실측	아니오	수치·라벨 글자는 따옴표 원문+후반 자막이 안전
STYLE29	화풍/스타일	과슈 일러스트	Gouache Illustration	불투명 수성 안료 회화	화풍 변수	에디토리얼 일러스트, 동화·포스터 톤, 비실사 풍자	Paint in opaque gouache with flat matte color fields, visible chalky brushwork, and soft layered edges.	gouache painting, opaque matte color, chalky brushstrokes, flat poster-like fields	자연광(LIGHT01·03) + S04~S06	네온·하드 글로우	불투명 매트 색면	따뜻함, 수공예감	경계 단순화·디테일 손실	Normal	gouache, opaque watercolor	리서치⚪(260613) — 미실측	아니오	수채(STYLE17)와 구분: 번짐X·불투명O. 동화풍 풍자 일러스트
STYLE30	화풍/스타일	목탄·연필 스케치	Charcoal & Graphite Sketch	흑연·목탄 소묘	화풍 변수	초상 스케치, 회상·미완성 톤, 콘셉트아트 느낌	Render as a charcoal and graphite sketch with smudged shading, visible paper tooth, and loose gestural hatching.	charcoal sketch, graphite drawing, smudged shading, paper tooth texture, monochrome	모노크롬 + LIGHT10(렘브란트) 결	고채도 컬러	흑백 소묘 질감	사색, 미완의 긴장	선만 남아 인물 식별 약화	Normal/Strong	pencil sketch, charcoal drawing	리서치⚪(260613) — 미실측	아니오	수묵(STYLE19)과 구분: 먹X·건식 흑연/목탄O
STYLE31	화풍/스타일	펜 크로스해치 잉크화	Pen-and-Ink Crosshatch	펜선 교차 음영 판화풍	화풍 변수	신문 풍자 삽화(op-ed 캐리커처), 빈티지 보도 일러스트	Render as a pen-and-ink illustration with dense crosshatching, fine stippling, and bold black contour lines on white.	pen and ink, crosshatch shading, stippling, fine line engraving, black on white	신문 인쇄톤 + S06~S08	소프트 그라데이션	교차선 음영	고전 보도 풍자, 신랄함	선 과밀 시 뭉개짐	Strong	ink crosshatch, editorial cartoon ink	리서치⚪(260613) — 미실측	아니오	WSJ식 점각 초상·신문 op-ed 캐리커처 정석. STYLE19(수묵)과 무관
STYLE32	화풍/스타일	리소그래프 프린트	Risograph Print	등사 스텐실 인쇄 룩	화풍 변수	레트로 진(zine)·포스터 풍자, 인디 감성	Render as a risograph print with 2-3 limited spot inks, slight color-layer misregistration, visible paper grain, and halftone dot texture.	risograph print, limited spot colors, misregistration offset, halftone dots, grainy paper	플랫 인포그래픽(STYLE28) + 2~3색 한정	포토리얼·풀컬러 그라데이션	어긋난 스폿 컬러 레이어	인디, 펑키, 수공예	글자·정밀 디테일 손실	Strong	riso print, spot color zine	리서치✅(260613)	아니오	특징=의도적 레지스트레이션 어긋남+한정 스폿 잉크(검증). 스크린프린트(STYLE34)와 인접하나 도트·번짐 다름
STYLE33	화풍/스타일	리노컷·목판화	Linocut / Woodcut	조각 양각 판화(비우키요에)	화풍 변수	선동 포스터·노동/시위 풍자, 거친 흑백 양식	Render as a bold linocut woodblock print with thick carved black shapes, rough gouged textures, and high-contrast graphic forms.	linocut, woodcut print, bold carved black shapes, rough gouge marks, high contrast graphic	선동 포스터(STYLE36) + LIGHT15	부드러운 그라데이션	양각 조각 흑백	투쟁, 민중적 강렬함	중간톤 소실	Strong	linocut, woodblock relief print	리서치⚪(260613) — 미실측	아니오	우키요에(STYLE20)와 구분: 서구 양각 조각·거친 게이지선. 시위/노동 이슈 풍자
STYLE34	화풍/스타일	스크린프린트·세리그래프	Screen-print / Serigraph	실크스크린 평면 색면	화풍 변수	팝아트풍 풍자 초상, 포스터·머천다이즈 톤	Render as a silkscreen serigraph with flat bold color blocks, halftone overlay, slight ink registration offset, and posterized contrast.	screen print, serigraph, flat bold color blocks, posterized, halftone overlay	포스터 구도 + 강한 보색	소프트 사진 질감	평면 색면 팝아트	대담, 아이코닉	얼굴 톤 단순화	Strong	silkscreen, pop art print	리서치⚪(260613) — 미실측	아니오	특정 작가 IP(워홀 등) 고유 배색·반복 그리드는 회피 — 일반 실크스크린 기법만
STYLE35	화풍/스타일	청사진·시아노타입	Blueprint / Cyanotype	프러시안 블루 기술 도면	화풍 변수	정책·구조 설계 비유 풍자, 음모도·설계도 톤	Render as a cyanotype blueprint: Prussian-blue ground with white technical line work, schematic annotations, and aged paper texture.	cyanotype blueprint, Prussian blue background, white technical line drawing, schematic, blueprint annotations	플랫 인포그래픽(STYLE28) + 도식 라벨	풀컬러 사진	백선 청지 도면	설계·음모의 도식화	곡선·디테일 표현 한계	Normal/Strong	blueprint, cyanotype, technical schematic	리서치✅(260613)	아니오	특징=백선/청지 네거티브·물 현상(검증). '거대한 설계' 시사 비유 정석
STYLE36	화풍/스타일	선동 포스터(구성주의)	Propaganda Poster (Constructivist)	혁명기 구성주의 선전화	화풍 변수	권력·체제 풍자, 거대 인물 우상화 패러디	Render as a constructivist propaganda poster: bold diagonal composition, limited red-black-cream palette, heroic low-angle figure, geometric sans-serif slogan blocks.	constructivist propaganda poster, bold diagonals, red black cream palette, heroic figure, geometric type blocks	H03(로우앵글) + LIGHT13(실루엣) + 슬로건 따옴표	파스텔·자연주의	대각 구성·삼색 선전화	선동, 우상화 풍자	실제 정권 상징 오인 주의	Strong	soviet propaganda, constructivism, agitprop poster	리서치⚪(260613) — 미실측	아니오	실존 국가·정당 엠블럼 직접 복제 금지(IP·오인) — 양식만. AI 표기(§8) 권장
STYLE37	화풍/스타일	아르데코 포스터	Art Deco Poster	1920~30s 기하 장식 포스터	화풍 변수	레트로 고급·도시 풍자, 행사·기업 패러디	Render as an Art Deco poster with streamlined geometric forms, gold-and-black palette, symmetrical sunburst motifs, and elegant flat shading.	art deco poster, streamlined geometric, gold and black, sunburst motif, elegant flat shading	대칭 구도 + S04	거친 그런지·노이즈	기하 장식 양식	고급, 시대 향수	인물 디테일 양식화	Normal	art deco, 1920s poster	리서치⚪(260613) — 미실측	아니오	대칭·선버스트·금흑 배색이 식별 키. 럭셔리 풍자
STYLE38	화풍/스타일	미드센추리 일러스트	Mid-century Modern Illustration	1950~60s 상업 일러스트	화풍 변수	복고 광고·생활 풍자, 낙관적 소비사회 패러디	Render in 1950s-60s mid-century modern illustration: textured flat shapes, limited muted palette, simplified stylized figures, and grainy printed texture.	mid-century modern illustration, flat textured shapes, muted retro palette, stylized simplified figures	플랫 색면 + 인쇄 그레인	포토리얼	질감 있는 플랫 도형	복고, 낙관	표정 단순화	Normal	mid century illustration, 50s ad art	리서치⚪(260613) — 미실측	아니오	광고 황금기 톤. 소비사회·복고 풍자
STYLE39	화풍/스타일	동화책 스토리북	Children's Storybook	아동 그림책 일러스트	화풍 변수	'순진한 척' 반어 풍자, 우화로 시사 비틀기	Render as a warm children's storybook illustration with soft textured paint, rounded friendly shapes, gentle palette, and naive charming composition.	children's storybook illustration, soft painterly texture, rounded friendly shapes, warm gentle palette, naive charm	과슈(STYLE29) + 따뜻한 자연광	하드 누아르·고어	포근한 그림책 질감	순진함(반어), 우화	디테일·리얼리티 포기	Normal	picture book, storybook illustration	리서치⚪(260613) — 미실측	아니오	무거운 시사를 동화로 포장하는 반어 풍자 — 노뮤트 톤과 궁합
STYLE40	화풍/스타일	식물 세밀화 도판	Scientific Botanical Plate	박물학 세밀 도판	화풍 변수	'표본화' 풍자(인물을 분류·해부 대상으로), 빈티지 학술 톤	Render as a vintage scientific botanical plate: precise watercolor-ink specimen on aged cream paper, fine labeling lines, Latin caption, museum illustration style.	botanical plate illustration, scientific specimen drawing, aged cream paper, fine ink outlines, latin label	라벨 따옴표 + S05~S07	네온·글리치	세밀 표본 도판	분류·박제의 냉소	라벨 글자 정확도 한계	Normal	botanical illustration, natural history plate	리서치⚪(260613) — 미실측	아니오	인물을 '표본'으로 박제하는 풍자 각도. 라틴 라벨은 후반 자막 권장
STYLE41	화풍/스타일	스테인드글라스	Stained Glass	납선 분할 채색 유리	화풍 변수	'성역화·우상화' 풍자, 장엄 패러디	Render as a stained-glass window: bold black leaded outlines dividing luminous saturated colored glass panes, backlit glow, mosaic-like segmentation.	stained glass window, black leaded outlines, luminous saturated glass panes, backlit glow	LIGHT16(백라이트 글로우) + 대칭 구도	소프트 사진 질감	납선 분할 발광 유리	신성화(풍자), 장엄	얼굴 분절로 식별 저하	Strong	stained glass, leaded glass window	리서치⚪(260613) — 미실측	아니오	모자이크(STYLE42)와 구분: 납선+투과광. 인물 성역화 풍자
STYLE42	화풍/스타일	모자이크 타일	Mosaic Tile	테세라 조각 타일화	화풍 변수	'기념비화' 풍자, 고전 권위 패러디	Render as a Byzantine-style tile mosaic: subject built from small square tesserae with visible grout gaps, gold-leaf background, slightly irregular tessellation.	mosaic tile art, small square tesserae, grout gaps, gold leaf background, tessellated	금박 배경 + S05	부드러운 그라데이션	조각 타일 집합	기념비적 권위(풍자)	세부 형태 거칠어짐	Strong	mosaic, tesserae, byzantine tile	리서치⚪(260613) — 미실측	아니오	스테인드글라스(STYLE41)와 구분: 불투명 타일+그라우트. 권위 기념비화 풍자
STYLE43	화풍/스타일	아이소메트릭 벡터	Isometric Vector Flat	등각 평면 벡터 다이어그램	화풍 변수	시스템·조직도 풍자, 구조 한눈에 보이기	Render as a clean isometric vector illustration: 2:1 isometric projection, flat solid colors, soft long shadows, tiny diagrammatic figures and objects.	isometric vector illustration, 2:1 isometric projection, flat solid colors, soft long shadows, diagrammatic	H04(오버헤드 경향) + LIGHT15	포토리얼·필름 그레인	등각 평면 다이어그램	도식, 통제감	인물 표정 거의 없음	Normal	isometric flat, vector diagram	리서치⚪(260613) — 미실측	아니오	플랫 인포그래픽(STYLE28)과 구분: 등각 입체 투영. 조직·구조 풍자
STYLE44	화풍/스타일	매트 페인팅	Matte Painting	극장용 배경 화법	화풍 변수	장대한 가상 배경(스카이라인·폐허·궁전) 풍자 무대	Render as a cinematic matte painting: vast painterly environment, atmospheric depth haze, dramatic god-ray sky, photoreal-painterly hybrid grandeur.	matte painting, vast cinematic environment, atmospheric haze, dramatic sky, painterly photoreal hybrid	LIGHT16(갓레이) + S01~S02(EWS)	타이트 클로즈업	장대한 회화 배경	경외, 서사 스케일	인물 디테일 부차	Normal/Strong	matte painting, environment art	리서치⚪(260613) — 미실측	아니오	배경 스케일 연출용. 인물은 작게 — 풍자 무대 세트
STYLE45	화풍/스타일	적외선 위색 사진	Infrared False-Color	IR 위색 풍경 사진	화풍 변수	'이상 징후·다른 눈으로 보기' 풍자, 초현실 풍경	Render as Aerochrome-style infrared false-color photography: foliage rendered magenta-pink, surreal candy tones, eerie high-contrast skies, dreamlike palette.	infrared false-color photography, aerochrome look, magenta-pink foliage, surreal candy tones, eerie sky	와이드 풍경 + LIGHT04	자연색 요구 씬	위색 마젠타 풍경	기묘, 초현실	피부톤 비현실화	Strong	infrared photo, aerochrome, false color	리서치⚪(260613) — 미실측	아니오	'겉과 다른 진실' 메타포 풍자. 특정 필름 상표 대신 기법 기술
STYLE46	화풍/스타일	롱노출 라이트페인팅	Long-exposure Light Painting	장노출 광흔 사진	화풍 변수	'분주함·소란'의 시각화 풍자, 야경 역동	Render as a long-exposure light-painting photograph: streaking light trails, traffic ribbons, glowing motion paths over a dark static scene, smooth time-blur.	long exposure light painting, light trails, traffic streaks, glowing motion paths, time-blur over dark scene	LIGHT21(야간 점광) + M21(타임랩스 결)	대낮 정지 씬	광흔 시간 누적	역동, 흐름의 가시화	정지 피사체만 선명	Normal/Strong	light painting, long exposure trails	리서치⚪(260613) — 미실측	아니오	움직임=빛줄기로 환원. 정신없는 정국·인파 풍자
STYLE47	화풍/스타일	로모·크로스프로세스	Lomography / Cross-process	로모·교차현상 필름 룩	화풍 변수	빈티지 청춘·무드 스냅 풍자, 우연성 톤	Render as a lomography cross-processed film look: heavy vignetting, oversaturated shifted colors, green-yellow color cast, light leaks, soft focus.	lomography, cross-processed film, heavy vignette, oversaturated shifted colors, light leaks, color cast	핸드헬드(M16) + 우연적 프레이밍	클린 광고 룩	비네팅·색틀어짐	날것, 청춘, 우연	피부톤 왜곡	Strong	lomo, cross process, xpro film	리서치⚪(260613) — 미실측	아니오	일본 네거티브(KV-04)·CCD(KV-10)와 인접 — 색 틀어짐·비네팅이 차별점
STYLE48	화풍/스타일	이중노출	Double Exposure	겹쳐 찍힌 합성 초상	화풍 변수	내면·이중성 풍자(인물 안에 풍경/군중 겹침)	Render as a double-exposure portrait: a silhouette filled with a second overlaid scene (cityscape, crowd, forest), blended translucent layers, fading edges.	double exposure portrait, silhouette filled with overlaid scene, translucent blended layers, fading edges	LIGHT13(실루엣) + S07~S09	복잡 액션 씬	겹친 반투명 레이어	이중성, 내면	두 이미지 충돌 시 혼탁	Normal/Strong	double exposure, multiple exposure portrait	리서치⚪(260613) — 미실측	아니오	'머릿속/이면' 시각화 풍자 정석. 정지 합성 — 영상은 시작프레임 경유
STYLE49	화풍/스타일	바포웨이브·신스웨이브	Vaporwave / Synthwave	80s 디지털 노스탤지어	화풍 변수	레트로 디지털 풍자, 자본·과잉의 아이러니	Render in vaporwave/synthwave aesthetic: magenta-cyan gradient sky, neon grid horizon, chrome 3D objects, classical bust, glitchy retro-digital nostalgia.	vaporwave aesthetic, synthwave neon grid, magenta cyan gradient, chrome objects, retro digital nostalgia	LIGHT08(네온) + 글리치(KV-15)	자연주의 다큐	네온 그리드·크롬	아이러니, 향수	상징 과밀 시 산만	Strong	vaporwave, synthwave, outrun aesthetic	리서치⚪(260613) — 미실측	아니오	사이버펑크(STYLE21)와 구분: 80s 소비미학 아이러니·파스텔 네온. 자본 풍자
