ID	분류	한국어명	영문명	비주얼 디테일(고증)	Gemini 키워드	GPT/영상 산문	용도(노뮤트)	비고
KR-23	일상 기표	노래방	noraebang	어두운 룸, 소파·낮은 테이블, 큰 모니터 가사 화면, 탬버린·무선마이크, 미러볼·네온 LED, 점수 화면	dark noraebang karaoke room, vinyl sofa and low table, big lyric monitor, tambourine and wireless mics, mirror ball and neon LED strips, score screen	A dim padded room pulses with neon and a mirror ball—lyric screen aglow, tambourine on the table, mic mid-song	회식·여흥·밤문화 / 정치인 '소탈 코스프레' 풍자	LIGHT08(네온)+11 연기. 가사 텍스트=후반 합성
KR-24	일상 기표	찜질방	jjimjilbang	양머리 수건·반팔 반바지 관내복, 황토방·식혜·삶은 달걀, 누운 사람들, 넓은 마루 공용 공간, 온돌 바닥	jjimjilbang spa hall, people in matching tee-and-shorts uniforms with sheep-head towels, clay sauna rooms, sikhye and boiled eggs, communal heated floor	A communal heated hall—people in matching spa tees, towels twisted to 'sheep ears,' eggs and sikhye, bodies sprawled	서민 휴식·익명 군중 / 계급 무화된 공간 풍자	'양머리'·식혜=찜질방 코드(고증). ENV+LIGHT01
KR-25	일상 기표	포장마차	pojangmacha	주황 천막·비닐 가림막, 백열등, 김 오르는 어묵·우동 솥, 플라스틱 의자, 소주·종이컵, 밤거리 노점	street pojangmacha tent, orange tarp and plastic sheeting, bare bulb, steaming fish-cake and udon pot, plastic stools, soju, night street vending	A bulb-lit orange tent steams into the night street—fish cakes bubbling, plastic stools, soju poured into paper cups	서민 정서·뒷골목 / 민생·소시민 애환 무대	백열등·주황 천막=식별 키. LIGHT01+WX(밤)
KR-26	일상 기표	국밥집	gukbap diner	낡은 벽·메뉴 종이 도배, 양은 쟁반·뚝배기 김, 깍두기·단무지 반찬통, 둥근 스텐 테이블, 후줄근 정겨움	old gukbap diner, paper menu strips on worn walls, aluminum tray, steaming earthenware bowl, kkakdugi side dishes, round steel tables, humble warmth	A worn diner of paper menus and steel tables—a steaming clay bowl, kkakdugi tubs, the comfort of plain food	민생·서민 식탁 / 정치인 '국밥 먹방' 위선 풍자	뚝배기·양은쟁반=한국 식당 코드. ENV+STYLE03
KR-27	일상 기표	지하철·버스	subway & bus	내부 손잡이 줄·우선석, 노선도·전광 안내, 출근 만원 인파, 시내버스 빨강·파랑·초록 색계, 교통카드 단말	Korean subway and city bus interior, hanging straps and priority seats, route map and LED display, packed rush-hour crowd, color-coded buses, card reader beep	Hanging straps sway over a packed rush-hour car; a route map glows, a card reader beeps as the color-coded bus pulls in	출퇴근·서민 동선 / 교통·민생 정책 풍자	노선색·교통카드=한국 코드. M14(군중)+ENV
KR-28	일상 기표	아파트·경비실	apartment & guard booth	성냥갑 고층 아파트 동 줄지음, 동·호수 큰 숫자, 좁은 경비초소·CCTV 모니터, 분리수거장, 놀이터	rows of identical high-rise apartment blocks, huge painted building numbers, cramped security guard booth with CCTV monitors, recycling station, playground	Identical towers march to the horizon, numbers painted huge; a cramped guard booth glows with CCTV, bins lined below	중산층·부동산 / 집값·재건축 민심 풍자	성냥갑 단지=한국 도시 식별 키. ENV+S01(LS)
KR-29	종교/무속	사찰·연등	temple & lotus lanterns	단청 법당, 줄줄이 매단 색색 연등(빨강·핑크·노랑), 향 연기·범종, 일주문·돌탑, 합장한 신도	Buddhist temple courtyard, dancheong hall, rows of hanging colored lotus lanterns red pink yellow, incense smoke and bronze bell, stone pagoda, bowing devotees	Rows of lotus lanterns drip color over a dancheong hall; incense curls, a bronze bell waits, devotees press palms together	종교·평정·초월 / 정치인 '봉축 표심' 행보 풍자	연등=초파일 코드(고증). LIGHT07+STYLE02
KR-30	종교/무속	교회 십자가	church cross skyline	밤하늘 가득한 빨강 네온 십자가 무리, 좁은 골목 위 솟은 첨탑, 새벽기도 불빛, 도심 스카이라인의 적색 점	cluster of red neon crosses across a night skyline, steeples rising over narrow alleys, dawn-prayer glow, red dots dotting an urban skyline	A skyline pricked with red neon crosses—steeples over tight alleys, the dawn-prayer windows still lit	한국 개신교 도시경관 / 종교·정치 결합 풍자	적색 네온 십자가=한국 특유 야경. LIGHT08+WX(밤)
KR-31	종교/무속	굿·무속	gut shamanic rite	색동·홍철릭 무복의 무당, 작두·삼지창·방울·부채, 돼지머리·시루떡 상, 오방기 흔듦, 신들린 도무	Korean shaman in colorful musok robe performing a gut, fodder-blade and trident and bells and fan, pig-head offering table, waving five-color flags, ecstatic dance	A shaman whirls in striped robes—trident, bells, five-color flags—over a table of pig's head and rice cake, mid-trance	무속·미신·점괘 정치 풍자 / 비합리 의사결정 메타포	무복=색동·활옷·홍철릭(고증). 오방색기. STYLE02+M
KR-32	종교/무속	부적	talisman	노란 한지에 붉은 주사(朱砂) 글씨·기호의 직사각 부적, 문설주·지갑 속, 알 수 없는 영부(靈符) 문양	rectangular Korean talisman, vermilion glyphs and symbols on yellow hanji paper, posted on a doorframe or tucked in a wallet, cryptic spirit-script	A rectangle of yellow paper crawls with vermilion script—a talisman pinned to a doorframe, half-magic, half-warning	미신·부적 정치 풍자 / '비선·주술' 의혹 환유	검증: 노란종이+붉은글씨(고증). 글씨=가상 기호로(후반 합성)
KR-33	전통 색·문양	오방색	obangsaek five colors	청(동)·적(남)·황(중앙)·백(서)·흑(북) 다섯 정색의 강렬 원색 면, 음양오행 배치, 색동·단청·보자기에 적용	bold obangsaek five-color palette, blue red yellow white black primaries, yin-yang five-element arrangement, applied to saekdong stripes, dancheong, bojagi	Five saturated primaries—blue, red, yellow, white, black—laid in five-element order across stripes, eaves, and cloth	전통 색채 코드 / 진영·방위 상징 응용	검증: 오방색=음양오행(고증). 14 CG와 매핑
KR-34	전통 색·문양	태극·단청 문양	taegeuk & dancheong motifs	적청 태극 소용돌이, 4괘(건곤감리), 연화·당초·기하 단청문, 박공·문틀의 문양 띠, 기와 막새의 도깨비 무늬	red-blue taegeuk swirl, four trigrams, lotus and scrolling-vine and geometric dancheong motifs, patterned bands on gables, goblin-face roof-tile end	A red-blue taegeuk coils between four trigrams; lotus and vine bands run the gables, a goblin-faced tile ends the eave	국가·전통 상징 / 태극기 부대·국가주의 풍자	태극=우주 근원 길상문(고증). 실제 국기 도안=주의(라벨)
KR-35	전통 색·문양	전통 보자기	bojagi wrapping cloth	조각천 이어 붙인 색면 조각보, 매듭으로 감싼 예물·뇌물 보따리, 꽃·길상 문양, 비단·모시 질감	patchwork bojagi wrapping cloth, color-block pieced panels, a gift or bribe bundle knotted in cloth, floral and auspicious motifs, silk and ramie texture	A patchwork cloth knots shut around a bundle—color-block panels, a gift (or a bribe) hidden in silk and ramie	예물·뇌물 환유 / '보따리' 거래 풍자	보따리=거래·은폐 환유. 27 MT(질감)+VR-17
KR-36	식문화 비주얼	밥상·집밥	home meal table	낮은 교자상에 흰쌀밥·국·여러 반찬 종지, 김치·나물·생선구이, 놋·스텐 수저, 둥글게 둘러앉음, 온기	low Korean dining table set with white rice, soup, many small banchan dishes, kimchi and namul and grilled fish, metal spoon-and-chopsticks, family seated around	A low table crowds with rice, soup and a dozen banchan—kimchi, namul, grilled fish—steel chopsticks, family circled close	민생·가정·정서 / '밥상 물가' 민심 풍자	반찬 다종=한국 상차림 코드. ENV+LIGHT01
KR-37	식문화 비주얼	김장	kimjang	마당 가득 절인 배추 무더기·빨간 양념 대야, 고무장갑·앞치마 둘러앉은 여럿, 김치통 줄, 보쌈 한 점 나눔	kimjang kimchi-making, courtyard piled with salted napa cabbage and tubs of red seasoning, group in rubber gloves and aprons, rows of kimchi bins, sharing bossam	A courtyard heaped with cabbage and crimson paste; gloved hands work in a circle, bins lining up as a wrap is shared	공동체·세시·민생 / 김장 물가·서민 정서 풍자	김장=공동노동 세시(고증). M+ENV(마당 KR-01)
KR-38	식문화 비주얼	회식 술자리	hoesik drinking	불판 고기·소주·맥주병, 잔 돌리기·폭탄주 제조, 넥타이 푼 직장인, 빨개진 얼굴, 빈 병 늘어선 테이블	Korean company dinner, grill of meat with soju and beer bottles, passing cups and mixing 'bomb' shots, loosened ties, flushed faces, rows of empty bottles	A grill smokes between toppled bottles; cups pass, a 'bomb shot' is built, ties loosened, faces gone red—hoesik in full	조직문화·권력관계 / 갑질·접대 정치 풍자	잔 돌리기·폭탄주=한국 회식 코드. EM+11 연기
KR-39	학교/군대	교복·급식	school & cafeteria	블레이저·이름표 교복, 줄선 배식대 스텐 식판, 칸 나뉜 급식, 교실 칠판·시간표, 운동장 조회	Korean school uniform with blazer and name tag, cafeteria line with steel sectioned meal trays, classroom blackboard and timetable, schoolyard assembly	Blazered students file past a steel-tray line; a sectioned meal, a chalk timetable behind—the institutional rhythm of school	교육·세대·청년 / 입시·급식·교육정책 풍자	식판=칸 나뉜 스텐(한국 코드). 미성년=캐리커처(SF 안전망)
KR-40	학교/군대	연병장·제식	parade ground drill	연병장 흙바닥 도열 군 대오, 각 잡힌 제식·경례, 위장 전투복·군화, 사열대·태극기, 구령 함성	military parade ground, ranks drawn up on packed earth, sharp drill and salute, camouflage fatigues and combat boots, review stand and flag, barked cadence	Ranks lock up on the packed-earth ground, salutes snapping in unison, a review stand and flag above—drill as spectacle	안보·동원·획일 / 군기·국가주의 풍자	제식=한국 군 코드. 실제 부대 마크 회피. 32 블로킹+S01
