ID	팁 제목	분류	핵심 내용(프롬프트/기법 — 바로 쓸 수 있게)	출처(플랫폼·크리에이터 유형)	적용(모델별)	비고
CTV-12	Kling은 네거티브 네이티브 — Veo는 본문으로	네거티브	Kling은 네거티브 프롬프트 네이티브 지원(워터마크·텍스트오버레이·모핑·여섯손가락 제외). Veo는 UI 미노출 → 원하는 상태를 본문 긍정문으로("anatomically-correct hands"). 모핑·드리프트 억제에 특히 유효	artlist 네거티브 가이드	Kling(네거)·Veo(본문)	PE-27 부정→긍정 전환과 짝 — 모델별 처리 분기
CTV-13	Sora 2 카메오로 95% 정체성 고정	모델별 차이	Sora 2: 1~10 숫자를 말하며 고개를 천천히 사방으로 돌려 녹화 → 얼굴·음성 추출해 재사용 ID 생성. 카메오=95%+ 캐릭터 일관성, 알고리즘도 이 기능을 밀어줌	godofprompt·redblink Sora 가이드	Sora 2	노뮤트 풍자엔 실존인물 직접 카메오 금지(IP) — 자체 캐릭터에만
CTV-14	Sora 2는 리믹스 체인으로 길이 확장	멀티샷	Sora 2는 15~25초. 더 길게=베스트 결과를 Remix로 이어붙이고 카메오 추가. 멀티파트 리믹스 체인이 단발보다 성과↑. 컷 전환은 "cut to"·"dissolve to" 언어로 명시	godofprompt·wavespeed	Sora 2	Kling(5/10초)과 길이 체계 다름 — 모델별 길이 메모
CTV-15	나노바나나 스토리보드→영상 입력	멀티샷·일관성	Nano Banana(Pro)로 스토리보드/키프레임 먼저 생성 → 그 이미지를 Sora2·Kling i2v 입력으로. 화풍·카메라·캐릭터·장면이 이미지에 고정돼 영상이 그걸 엄격히 따른다	godofprompt·Sora 커뮤니티	Nano Banana→Sora2/Kling	/k 정본 파이프라인(이미지=Gemini, 영상=Kling) 그대로 — PE-35
CTV-16	Hailuo는 [Push in] 대괄호 명령	모델별 차이	Hailuo Director: [Push in]·[Shake] 등 대괄호 카메라 명령이 핵심. "slow zoom into the subject's eyes while panning right" 식 자연어도 가능. 한 샷에 무브 결합 가능(push-in→tracking)하나 샷당 2~3개 이내	getimg·monica Hailuo 가이드	Hailuo/MiniMax Director	타 모델은 대괄호 문법 미지원 — 복붙 시 함정(PE-22)
CTV-17	Runway는 image_1·image_2 라벨 참조	모델별 차이	Runway Gen-4: 여러 레퍼런스 조합 시 "image_1"·"image_2"·"image_3" 라벨로 어느 입력이 어디 영향인지 명시. 단일 레퍼로도 world consistency(캐릭터·소품·환경)를 여러 장면·조명에 유지	runway help·selfielab	Runway Gen-4	합성·요소 조합 시 필수 — 타 모델엔 없는 문법
CTV-18	립싱크는 단일화자·짧게·클로즈업	오디오	다화자 대화는 싱크 깨짐(한 명만 맞고 다른 명 어긋남). 단일화자·클린오디오·클로즈업에서 설득력↑. 대화는 반복(iterate) 각오. 노래·대사는 5초보다 10초 파라미터 권장. 30초+ 확장 시 품질 눈에 띄게 저하	flowith·atlascloud·Kling FAQ	Kling Omni/2.6·Veo 네이티브오디오	06·PE 미수록 현장 한계 — 빠른 발화·특이 음소도 아티팩트
CTV-19	오디오는 별도 섹션으로 명시	오디오	생성 오디오는 별도 블록으로 포일리·음악스타일·무드를 분리 기술. "Rhythmic punching sounds synced to motion"·"Heavy breathing from exertion"·"Low rumbling electronic beat in background" 식. 모션과 싱크 명시	wavespeed Sora 가이드	Sora 2·Kling Omni	PE-16 "show don't tell"의 구조화 — 행동묘사+오디오섹션 병행
CTV-20	물리는 재질·강도로 가이드	모션 제어	물리 이해를 구체 서술로: "gentle collision"·"violent crash"·"slow drift", 재질 거동 "fabric stretches"·"glass shatters"·"liquid flows", 타이밍 "quick reaction vs slow-motion". 막연히 두면 물리 붕괴	wavespeed·cyberlink Sora	Sora 2·전 모델	27 재질·11 연기와 연계 — 충돌·파편의 강도어가 핵심
CTV-21	리롤 전엔 "무엇이 실패했나" 먼저	리롤 전략	무작정 재생성·증설 금지. 실패 원인 분류(요소 과다? 카메라 모호? 열린 모션?) → 해당 컴포넌트만 수정. 전체 재작성 말 것 — 크레딧 절약·반복 가속	veed.io 실전 가이드	전 모델	PE-36 디버깅 절차의 현장 룰 — "한 번에 한 컴포넌트"
CTV-22	중요 클립은 N개 뽑아 픽	리롤 전략	핵심 클립은 변형 여러 개 생성해 베스트 픽이 정석(확률적 생성). 어떤 구조가 먹혔는지 기록해 재사용 프롬프트 라이브러리 축적. 병렬 큐로 A/B·스토리보드 시퀀스 한꺼번에	OpusClip·MindStudio 에이전시 사례	전 모델	PE-14 우연성 비가역 — "한 방" 금지, 로그 축적
CTV-23	피사체가 프레임 이탈하면 샷크기 고정	실패 회피	큰 동작+느슨한 프레이밍 = 주체가 프레임 밖으로. "medium shot"·"close-up"을 명시해 가둬라. 객체 왜곡(빠른 이동+복잡 기하)도 모션 속도↓·클립 짧게로 완화	magichour 문제·해결 표	Kling·전 모델	PE-26 카메라어 우선순위의 실패→대책 매핑
CTV-24	콘텐츠 필터 우회 — 부재가 아니라 의상을	실패 회피	필터가 과민해 무해한 표현도 차단. "shirtless"·"bare feet"·"exposed"·민감맥락 "touching"·"embracing" 회피 → 없음 대신 입은 옷을 묘사, 격식 기술어 사용, 설정과 주체맥락 분리	veed.io 실전 가이드	Sora·Veo 등 엄격 필터 모델	정치 풍자 톤도 필터 트립 가능 — 표현 사전 점검
CTV-25	단문 프롬프트 금지 — 5요소 채우기	프롬프트 구조	"A guy dancing" 류 한 문장 금지. "A fit man in 20s dances energetically in a bright studio apartment, casual streetwear. Electronic dance music plays, movements fluid and choreographed" 식으로 주체·행동·맥락·스타일·오디오 채움	wavespeed·cyberlink Sora	Sora 2·전 모델	PE-21 길이 스위트스팟 — 너무 짧으면 환각·통제 부족
CTV-26	환경 디테일은 2~3개로 제한	프롬프트 구조	맥락(환경) 요소는 3~5개 최대, 실전 2~3개 권장. 너무 많으면 주체와 토큰 경쟁해 일관성 붕괴. 주체를 앞·두텁게, 배경은 짧게 후순위(얕은 심도로 광학 분리도)	veed.io·magichour	전 모델	PE-25 전경-배경 분리의 현장 수치 — "장면 욱여넣기" 금지
CTV-27	멀티샷은 단계별 생성→편집 조립	멀티샷	동선: 설정샷 → 캐릭터/액션샷 → 전환샷 순 생성, 클립 따로 뽑아 편집툴로 페이싱·일관성 다듬어 조립. 짧은 클립일수록 모션 안정. 한 프롬프트로 긴 서사 강행 말 것	magichour 워크플로	Kling·전 모델	지침 §3·§5 멀티샷·15초 클립분할과 직결
CTV-28	"따라가다 멈춤"은 한 연속 동작으로	카메라 노하우	"follow then settle"·"push-in to tracking" 류 2동작은 별개로 쓰면 둘 다 실패 위험("둘 다 시도→둘 다 망함"). 하나의 연속 동작으로 서술하고 교차점·정착점 명시	veed.io·goenhance	Kling(특히)·전 모델	06 M40·M47·M48의 공통 함정 — "2동작 함정" 회피
CTV-29	안정 종횡비·구도는 비율과 함께 선언	프롬프트 구조	종횡비는 추측 안 됨 — 쇼츠 9:16·가로 16:9를 파라미터·프롬프트에 명시. 9:16="vertical composition, subject upper-two-thirds, lower third clear" 식 비율별 구도까지. 미지정 시 기본값으로 빠져 쇼츠 망침	실무 관행·invideo·redblink	전 모델	PE-15·31 자막여백 직결 — 쇼츠 하단 1/3 비우기
CTV-30	오프닝 0~2초에 후크를 박아라	배포·후킹	명확한 오프닝 없는 영상은 알고리즘이 안 밀어준다. 첫 1~2초에 강한 비주얼·동작·궁금증을 배치. "generic AI slop"·다중 충돌 아이디어는 묻힌다 — 한 영상=한 메시지	godofprompt·redblink Sora 바이럴	Sora 2(SNS 배포 전반)	노뮤트 쇼츠 배포 노하우 — 제작이 아니라 첫 컷 설계
CTV-31	리얼리즘엔 디테일·결함을 더하라	양식 노하우	너무 깨끗하면 CG처럼 보임. 자연 결함(미세 모션블러·필름그레인·핸드헬드 미동·피부 질감·먼지)을 더해 실사성↑. 단 화풍이 양식적(애니 등)이면 빼기(모순)	Sora·Kling 커뮤니티 통설	전 모델	14·24·25와 연계 — "완벽함이 가짜로 보이는" 역설
CTV-32	정확한 텍스트는 생성 말고 후합성	실패 회피	화면 한글·정확 카피는 생성 모델이 깨뜨림(획 복잡·글자수↑일수록). 짧은 단어·따옴표 리터럴만 시도하고, 긴 카피·정확 텍스트는 영상 생성 후 편집·합성(comp)에 위임	커뮤니티 통설·텍스트렌더 한계	전 모델	PE-32·comp 합성 위임과 직결 — 노뮤트 자막은 후공정
CTV-33	모핑·플리커는 클립 짧게+모션 낮춰	실패 회피	장클립·고모션일수록 모핑·정체성 플리커·배경 워핑↑. 대책: 클립 길이↓(5초)·모션강도↓·복잡 기하 회피·정체성 락 반복. 구조적이면 샷 분할이 근본책	atlascloud·Kling 커뮤니티	전 모델(장클립일수록)	PE-19 실패모드 분류 — 모핑=길이·모션 두 손잡이
CTV-34	참조 가중치는 정체성↔자유의 손잡이	이미지→영상	레퍼런스 강도(@weight·img2img strength·IP-Adapter scale)↑=정체성↑·텍스트 지시 반영↓. 정체성 고정 중요=가중치↑(텍스트 일부 양보), 새 포즈·행동 필요=가중치↓. 한 항목씩 조절	IP-Adapter·SDEdit 원리·벤더 문서	Runway·Kling@참조·Gemini	PE-33 강도 손잡이의 영상 현장 적용
CTV-35	모델별 강점 분업 라우팅	모델별 차이	이미지 정밀·정체성·텍스트렌더=Gemini(나노바나나) → 모션·시간일관성·오디오=Kling/Veo. 정지 레퍼·캐릭터시트·화면글자 먼저 Gemini, 그 이미지를 영상모델 i2v로. 한 모델에 둘 다 강요 말 것	벤더 역량차·/k 지침	Gemini↔Kling/Veo 분업	라우터 §모델·PE-35 — /k 파이프라인 코어
CTV-36	대화 신은 10초·단일화자·정면 클로즈업	오디오	대사 클립은 5초 대신 10초 파라미터, 화자 1명, 정면 클로즈업, 배경음악 없이. 다화자·고속발화·측면은 싱크 깨짐. 톡헤드 1인은 수용 가능, 대화는 반복 필요	flowith·Kling FAQ·atlascloud	Kling Omni·Veo 오디오	CTV-18 보강 — 대화 신 세팅 체크리스트
