ID	한국어명	영문명	기법(동세·액션 포착)	Gemini 키워드	영상(Kling) 지시문	추천 조합	리스크	비고
ACT-21	급정지·미끄러짐	Skid / Hard Stop	질주하다 급히 멈추며 미끄러지는 순간 — 먼지·자국 동반, 관성으로 상체가 쏠림. 정지 직전 긴장	skidding to a hard stop, dust kicking up, body pitching forward from inertia, screeching halt	the figure skids to an abrupt stop, dust kicking up as inertia pitches the body forward	AN-26(오버슈트)·ACT-06(먼지)·M49(관성정지)·ACT-10	정지 과정=2동작 함정 → 미끄러지는 한 순간만	M49(관성정지)의 피사체판. 도주 끝·추격 종결. 단일 순간 정지로 Kling 안전
ACT-22	회전·스핀	Spin / Pivot Turn	몸이 도는 회전 동세 — 옷·머리칼이 원심으로 퍼지고 시선이 따라 돎. 회피·전환·과시	spinning motion, clothes and hair flaring outward with centrifugal force, mid-rotation captured	the body spins, clothing and hair flaring outward as it rotates through the turn	AN-34(돌아서기)·ACT-10·M22(슬로모)·M11(오빗 대비)	빠른 회전=얼굴 드리프트(NEG02) 폭증 → 슬로모·반회전	M11(카메라 오빗)과 구분(이건 피사체가 돔). 원심 확산이 동세 단서. 360°는 분할
ACT-23	발차기·뻗는 다리	Kick / Extended Limb	다리·팔을 길게 뻗는 직선 동작 — 뻗음의 정점에서 신체가 일직선 긴장. 타격·돌파	a leg or arm extended fully in a kick or strike, the limb snapping out straight, peak of the extension	the limb snaps out fully extended, frozen at the peak of the kick	ACT-01·ACT-14(궤적)·AN-15·NEG01	뻗는 중간 모션=관절 왜곡 → 완전 신전 정점만	격투 단서. 정점(완전 뻗음) 정지가 안전. IP 회피·과장은 카툰 화풍으로
ACT-24	들어올림·머리 위로	Lift / Overhead Hoist	무언가/누군가를 머리 위로 들어올리는 동세 — 승리·과시·항거. 팔 신전과 무게감	hoisting something overhead, arms extended upward, lifting high in triumph, weight raised aloft	the figure hoists it high overhead, arms straining upward in a triumphant lift	EM-31(자긍)·AN-15(무게감)·ACT-10·LGT(역광)	들어올리는 과정=2동작 → 든 정점 정지	승리 세리머니·트로피·현수막 게양 풍자. EM-31(파워포즈)과 세트. 정점 정지
ACT-25	어지러운 난투(혼돈)	Chaotic Melee	여럿이 뒤엉킨 혼돈의 집단 액션 — 방향 제각각, 팔다리 뒤섞임. 난동·충돌 현장	a chaotic melee, multiple figures tangled in struggle, limbs everywhere, disorderly clash	a chaotic scuffle erupts, multiple figures tangling in disorderly struggle	ACT-11(군중)·ACT-13(격투)·M16(핸드헬드)·NEG01	다인+빠름=Kling 최악 조합 → 원경·슬로모·정지 강제	국회 난투·시위 충돌 풍자. **가장 취약** — 멀리서·느리게·멈춰서만. 손·얼굴 NEG 필수
ACT-26	질주·전력 달리기	Sprint / Full Run	전력으로 달리는 동세 — 양팔 교차 펌핑, 한 발만 땅에 닿거나 양발 공중. 보폭 최대 신전	sprinting at full speed, arms pumping, legs fully extended mid-stride, one foot or none touching ground	the figure sprints at full speed, arms pumping and legs extended in a powerful stride	AN-42(걷기스타일)·ACT-03(패닝)·ACT-16·M22	빠른 보행=Kling 모션붕괴(미해결§) → 슬로모·정지	도주·추격·경주. AN-42(보행)의 극단. 공중 보폭 정점이 동세 핵심. 슬로모가 안전판
ACT-27	피사체 추적 줌(달리줌 변형)	Action Snap-zoom	액션 순간 급히 줌/푸시해 주목을 때려박음 — 임팩트·반응에 펀치. 중계·밈 톤	a sudden snap zoom punching in on the action, quick push toward the impact moment	a quick snap zoom punches in on the action at the decisive moment	M14(크래시줌)·ACT-05·ACT-18·EM-06(놀람)	급줌=블러·왜곡 동반(의도면 OK) → 전환부 한정	M14(크래시줌)의 액션 적용. 임팩트 강조·코믹 리액션. 밈 풍자 톤
ACT-28	저각 솟구침(영웅 구도)	Low-angle Heroic Surge	로우앵글에서 솟구치는 액션을 올려다봐 웅장·위압 — 하늘 배경에 인물이 뛰어오름	low-angle view of the figure surging upward against the sky, heroic and towering, dynamic upward thrust	from a low angle the figure surges upward against the open sky, towering and dynamic	01c(로우앵글)·ACT-04(점프)·ACT-19·LGT(역광)	로우앵글+점프=다리/발 왜곡 → 정점 정지	영웅화/풍자(가짜 영웅). 01c(카메라 높이)와 세트. 솟구침 정점 정지
ACT-29	스포츠 결정적 순간	Sports Decisive Moment	경기의 클라이맥스(골·결승선·세리머니 직전)를 잡는 스포츠 사진 결 — 긴장·환희의 정점	the decisive sporting moment, the instant of scoring or victory, peak athletic tension frozen	the decisive moment of the game, frozen at the instant of triumph and tension	ACT-01·ACT-24(들어올림)·EM-31·FX-11(색종이)	연속 플레이=분할 → 단일 결정적 순간	'preparation determines decisive moments'(리서치). 스포츠 풍자(정치=경기 은유). 정점 정지
ACT-30	위협적 접근(다가옴)	Menacing Advance	카메라/상대를 향해 위협적으로 다가오는 전진 동세 — 압박과 긴장. 대치·진압	advancing menacingly toward the camera, looming forward, threatening approach, mounting pressure	the figure advances menacingly toward the camera, looming larger with each step	M41(리버스트래킹)·EM-05(분노)·SH-05(드리운그림자)·01c	정면 다가옴=배경 워핑 → slow 명시	M41(뒷걸음 추적)과 세트. 진압·대치·위압 풍자. 느린 전진이 안전
ACT-31	넘어짐·쓰러짐	Fall / Collapse	중심을 잃고 넘어지거나 쓰러지는 동세 — 팔 허우적·무릎 꺾임. 패배·실각 은유	stumbling and falling, losing balance, knees buckling, arms flailing, collapsing to the ground	the figure stumbles and collapses, balance lost, arms flailing as they go down	EM-26(처짐)·AN-39(울음)·ACT-20(낙하)·ACT-21	넘어지는 과정=Kling 물리붕괴 → 쓰러진 정점·슬로모	'몰락·실각·패배' 풍자 은유. 단일 순간(꺾이는 정점)이 안전. EM-26과 서사 세트
ACT-32	물·액체 가르기	Water / Liquid Burst	물을 가르고 솟구치거나 첨벙이는 동세 — 다이빙·물보라·빗속 질주. 물 물리 모델 강점 활용	bursting through water, splashing spray erupting, slicing through liquid, dynamic water motion	the figure bursts through the water, spray erupting in a dynamic splash	FX-14(물스플래시)·ACT-06(비산물)·M22·FX-22(렌즈비)	—	물 물리는 모델 비교적 강함(FX-14) → 액션 중 안전한 편. 빗속 시위·다이빙. 슬로모 페어 권장
ACT-33	무기·도구 휘두름(시위 소품)	Object Wield / Brandish	깃발·피켓·도구를 치켜들거나 휘두르는 동세 — 시위·항거 소품. 궤적과 정점	brandishing a flag or sign overhead, wielding an object, raising and swinging a prop dynamically	the figure brandishes the sign overhead, swinging it through a dynamic arc	ACT-24(들어올림)·ACT-14(궤적)·NEG08(소품고정)·NEG01	휘두름 중간=소품 형태 붕괴(NEG08) → 정점·소품명 박기	시위 깃발·피켓 풍자. NEG08(소품 형태 고정)+소품명 명시 필수. IP·무기류는 비폭력 소품으로 치환
