ID	퓨전명	조합(화풍×조명×색×렌즈/구도 — 코드 참조)	결과 무드(새로 생기는 것)	Gemini 키워드(통합 프롬프트)	추천 용도(풍자)	리스크	비고
CDF-11	모자이크 타일 × 봉헌 촛대광 × 보라 강조	STYLE42(비잔틴 모자이크 테세라·금박) × LIGHT48(제단 봉헌 촛불 미광) × CE-07(purple 권력·퇴폐) × COMP-16(방사 구도)	금박 모자이크가 촛불 미광에 빛나고 보라가 스며 — '신전에 모셔진 권력자'. 기념비적 숭배를 패러디	Byzantine mosaic tesserae with gold-leaf background, warm votive candle altar glow, purple power-decadent accent, radial composition	특정 인물을 '성역화·기념비화'하는 우상화를 신랄하게 패러디	타일 그라우트+촛불 흔들림 정합 좋음. 인물 식별 거칠어짐(의도면 OK)	purple=권력/퇴폐(CE-07). 모자이크=기념비 권위 풍자. AI 표기(§8) 권장
CDF-12	리소그래프 × 형광등 × 듀오톤	STYLE32(리소그래프 한정 스폿·레지스터 어긋남) × LIGHT18(형광등 녹색 평면) × CG-12(duotone 2색조) × COMP-29(중심이탈)	어긋난 스폿 인쇄에 삭막한 형광 평면광과 2색조 — '복사실에서 막 뽑은 불온 전단'. 인디 펑키함이 관료 삭막함과 충돌	risograph print limited spot inks misregistration offset, flat greenish fluorescent light, duotone two-color, off-center decentered frame	내부 전단·고발 유인물·풍자 진(zine) 톤 — 체제 균열을 펑키하게	글자·정밀 디테일 손실 → 핵심 텍스트는 후반. 형광등 색과 스폿잉크 색 충돌 점검	리소=한정 스폿+레지스터 어긋남(검증). 듀오톤(CG-12)=풍자 표지와 동질
CDF-13	조선 풍속화 × 흐린날 확산광 × 세피아	STYLE66(조선 풍속화 담채 군상) × LIGHT03(흐린날 무그림자 균일광) × CE-10(brown·sepia 과거·기록) × L08(35mm 다큐)	풍속화 군상이 다큐식 균일광에 세피아로 — '오래된 기록사진처럼 박제된 세태'. 해학적 군상이 빛바랜 아카이브로	Joseon pungsokhwa genre painting light watercolor figures, soft overcast even daylight, sepia brown archival tone, 35mm documentary framing	서민·세태를 '낡은 사료처럼' 관조하는 은근한 해학 풍자	담채 풍속화+사진식 균일광 톤 드리프트 → 화풍 우선	세피아(CE-10)=아카이브 톤. 풍속화=세태 풍자 정본(검증)과 흐린날 다큐광 정합
CDF-14	스테인드글라스 × 백라이트 글로우 × 단색	STYLE41(스테인드글라스 납선·발광 유리) × LIGHT16(볼류메트릭 백라이트 글로우) × PAL-06(단색 통일) × COMP-14(중앙 대칭)	납선 분할 유리가 갓레이 역광으로 발광하고 단색으로 통일 — '대성당 창에 박제된 성인'. 장엄 후광을 패러디	stained-glass window black leaded outlines luminous panes, volumetric backlit god-ray glow, monochromatic palette, perfectly symmetrical centered	인물 '신격화·성인화' 우상화를 장엄하게 비꼼	유리 분절+백라이트 = 얼굴 식별 저하. 단색이라 색 충돌 없음	스테인드글라스=납선+투과광(검증). 백라이트 글로우와 발광 시너지 — 1광원 원칙 부합
CDF-15	사이버펑크 × 스크린 글로우 × 마젠타-시안	STYLE21(사이버펑크 네온 도시) × LIGHT22(폰·모니터 스크린 글로우) × CE-09(magenta-cyan 인공·비현실) × S08(CU)	사이버펑크 도시감이 한 사람 얼굴의 폰빛으로 응축 — '디스토피아가 손바닥 스크린 안에'. 거대 미래상이 개인 고립으로	cyberpunk neon city aesthetic, cold blue screen glow on a face in a dark room, magenta-cyan artificial cast, tight close-up	'밤새 댓글·코인 보는' 정보화 고립을 디스토피아로 확대하는 풍자	청색 스크린광 살갗 왜곡 → 의도적 활용. 네온 환경은 배경에만	magenta-cyan=인공/비현실(CE-09)=네온(LIGHT08) 정합. 거대→개인 스케일 전환이 새 무드
CDF-16	선동 포스터 × 무대 스포트라이트 × 적-흑-크림	STYLE36(구성주의 선동 포스터 대각·삼색) × LIGHT20(암전 속 단일 스포트) × CG-12(duotone 적흑) × H03(로우앵글)	구성주의 대각 구성에 연단 스포트라이트와 적흑 — '영웅 우상화 포스터가 무대 위에서 살아남'. 선전화가 실제 연설로	constructivist propaganda poster bold diagonals, single hard stage spotlight in darkness, red-black-cream duotone, heroic low-angle figure	정치 연설·우상화 이벤트를 '혁명 선전화'로 과장 패러디	실존 정권 엠블럼 직접 복제 금지(IP·오인) → 양식만. AI 표기 권장	선동 포스터 자체가 삼색+로우앵글 내장 → 스포트라이트가 무대화. duotone과 톤 일치
CDF-17	과슈 동화 × 따뜻한 자연광 × 난색 지배	STYLE39(동화책 스토리북 포근) × LIGHT01(골든아워 따뜻) × PAL-08(난색 지배) × S05~S06	포근한 그림책 일러스트가 황금빛 난색으로 — '순진한 동화로 포장된 무거운 시사'. 따뜻함이 반어로 뒤집힘	children's storybook illustration soft painterly rounded shapes, warm golden-hour light, warm-dominant palette, naive charm	무거운 시사를 '순진한 척' 동화 우화로 비트는 반어 풍자	디테일·리얼리티 포기. 따뜻함이 진짜로 읽히면 반어 실패 → 내용 대비 필요	과슈(STYLE29)·동화(STYLE39) 친족. 난색+골든아워=온기 강화로 반어 극대
CDF-18	그래픽노블 잉크워시 × 하드 누아르 슬랫 × bleach bypass	STYLE54(거친 잉크워시 그래픽노블) × LIGHT44(블라인드 줄무늬 하드 슬랫) × CG-06(bleach bypass 탈색·고대비) × H06(더치)	거친 잉크 묵직함에 블라인드 줄무늬광과 탈색 고대비 — '범죄 그래픽노블의 한 페이지'. 묵직함이 더 차갑고 신랄해짐	gritty graphic-novel ink wash heavy black spotting, hard venetian-blind slat light stripes, bleach-bypass desaturated high contrast, dutch tilt	권력형 범죄·법리 고발의 묵직 누아르 — 노뮤트 B화풍 친족	어둠부 형태 소실 + 더치까지 = 식별 부담 → 슬랫은 얼굴 비껴	bleach bypass=탈색 고대비(CG-06)가 잉크워시 묵직함 강화. 누아르 슬랫(LIGHT44)과 동질
CDF-19	민화 × 콘서트 레이저 × 삼색	STYLE64(한국 민화 평면 길상) × LIGHT54(가는 콘서트 레이저 빔) × PAL-03(삼색) × COMP-16(방사)	평면 민화에 가는 레이저 빔이 방사로 꽂혀 — '아이돌 콘서트가 된 전통 길상화'. 해학에 선동 스펙터클이 겹침	korean minhwa flat folk painting bold outlines, thin sharp concert laser beams fanning, triadic palette, radial composition	대형 집회·팬덤화된 정치를 '민화+레이저쇼'로 비꼬는 풍자	레이저 빔 과다 = 기하 붕괴·산만 → 빔 소수. 평면 민화와 빔 깊이 충돌	민화 평면성이 레이저 입체빔과 의외 충돌→스펙터클 풍자. 삼색=선동적 활기
CDF-20	비잔틴 이콘 × 응급실 무영광 × 무채+1	STYLE70(비잔틴 이콘 금박 정면) × LIGHT49(수술등 차가운 무영 임상광) × PAL-07(무채+1 금색 강조) × COMP-28(정면 직면)	금박 성상이 임상 무영광 아래 정면으로 — '수술대 위에 박제된 성인'. 숭배가 차갑게 해부됨	Byzantine icon flat gold-leaf frontal solemn figure gilded halo, cold shadowless surgical clinical light, achromatic with one gold accent, dead-center frontal	'성역화된 인물을 임상적으로 해부·검시'하는 이중 풍자	무영광=입체 없음(이콘 평면과는 오히려 정합). 금박+임상백 색 충돌 점검	이콘=계란템페라 평면(검증). 무영 임상광이 신성 후광을 차갑게 반전 — 의외 충돌이 핵심
CDF-21	적외선 위색 × 골든아워 × 어안	STYLE45(적외선 위색 마젠타 식물) × LIGHT01(골든아워) × CE-09(magenta-cyan) × L01(어안 180도)	위색 풍경이 황금빛으로 데워지고 어안으로 부풀어 — '꿈인지 악몽인지 모를 휘어진 낙원'. 초현실이 더 어지러워짐	infrared false-color magenta-pink foliage eerie cyan sky, warm golden-hour glow, magenta-cyan surreal cast, fisheye 180-degree curved distortion	'겉만 평화로운 세상'의 비틀린 진실을 어지러운 낙원으로 폭로	어안+위색 동시 = 식별 급락 → 인물보다 풍경 위주. 골든아워 난색과 위색 마젠타 색 충돌	IR 위색=마젠타 식물·발광(검증). 골든아워 온기가 위색 기괴함과 충돌해 '독 든 낙원' 무드
CDF-22	펜 크로스해치 × 형광등 × 셀렉티브 컬러	STYLE31(펜 크로스해치 잉크) × LIGHT18(형광등 평면) × CG-11(selective/isolated color 한 색만) × COMP-39(빈 상단 자막공간)	신문 펜선 흑백에 단 한 색만 살아남고 형광 평면광 — '관공서 게시판에 붙은 만평'. 신랄함에 관료적 삭막함과 시선 강조	pen-and-ink crosshatch black on white, flat greenish fluorescent light, selective isolated single-color highlight, empty upper space for caption	관료·행정 비판 op-ed 만평 — 핵심만 한 색으로 강조해 찌르기	선 과밀 시 뭉개짐 + 형광 녹색이 선택색과 충돌 가능 → 강조색 신중	셀렉티브 컬러(CG-11)=시선 유도. 빈 상단(COMP-39)=자막 정박. 만평+형광=관료 풍자
CDF-23	클레이 스톱모션 × 모티베이티드 실내등 × 코닥 웜	STYLE15(클레이 스톱모션 점토 질감) × LIGHT25(화면 속 램프 모티베이티드) × CG-16(golden Kodak warm) × S06~S07	점토 인형 세계가 화면 속 램프 난색으로 — '손으로 빚은 따뜻한 정치 인형극'. 기발함이 회고적 온기로 친근해짐	claymation stop-motion clay-textured puppets fingerprints, motivated warm practical lamp in frame, golden Kodak warm grade, medium shot	정치를 '점토 인형극'으로 친근하게 희화화 — 거리두기 + 온기	모션 일관성 리스크(영상). 클레이+사진식 그레이드 톤 점검	코닥 웜(CG-16)=회고 온기. 모티베이티드 실내등(LIGHT25)=가장 현실적 룩이 인형극과 정겹게 충돌
CDF-24	진경산수 × 새벽 여명 × 한색 지배	STYLE65(진경산수 실경 수묵담채) × LIGHT24(새벽 여명 한색 저광) × PAL-09(한색 지배) × S02~S03(와이드)	실경 수묵 산하가 차가운 여명에 잠겨 — '해 뜨기 전 한국 산하의 결의'. 전통 웅혼함에 새벽의 각오가 더해짐	jingyeong true-view Korean ink landscape craggy peaks light wash, cold dim pre-dawn first light, cool-dominant palette, wide establishing shot	'새벽을 여는' 결의·전환의 시사 오프닝 무대 — 전통 권위 톤	인물은 작게·디테일 부차. 여명 저광량 노이즈. 골든아워와 동시 선언 금지	진경산수=실경 담채(검증). 새벽 여명(LIGHT24)=골든아워와 별개 시간대 → 한색 지배로 결의 무드
CDF-25	리노컷 × 모닥불 화광 × 적-흑	STYLE33(리노컷·목판 거친 양각) × LIGHT40(모닥불 흔들리는 큰 화광) × CG-12(duotone 적흑) × H03(로우앵글)	거친 양각 흑백 판화가 시위 화염의 흔들리는 적광으로 — '횃불 든 민중 판화가 살아 움직임'. 투쟁의 강렬함이 불에 데워짐	bold linocut woodcut carved black shapes rough gouge, large dancing firelight flickering orange glow, red-black duotone, heroic low-angle	시위·노동·저항을 '민중 판화 선전'으로 강렬하게 시각화하는 풍자	중간톤 소실 + 화광 플리커 과장 위험. 적흑 듀오톤과 화염색 정합	리노컷=서구 양각 거친 게이지선(검증). 모닥불 화광(LIGHT40)=시위 화염 재연, 로우앵글로 민중적 강렬함
