ID	한국어명	영문명	Gemini 키워드	영상(Kling) 지시문	용도/효과	추천 조합	리스크	비고
AB-16	와이어프레임/메시	Wireframe / 3D Mesh	wireframe 3D mesh, polygonal lattice overlay, glowing vertex lattice	wireframe model rotates revealing its polygonal structure	설계·해체·구조 폭로	AB-08(X레이)·FX-05·STYLE(SF)	정점 환각·복잡 메시 붕괴	'뼈대만 남았다' 해체 메타포. 청사진 톤
AB-17	포인트 클라우드	Point Cloud / LiDAR	lidar point cloud scan, scene reconstructed from glowing points, depth-mapped dots	point cloud forms then dissolves, scanning the space	디지털 트윈·감시·해체	V13(CCTV)·FX(디졸브)·AB-16	점밀도 일관성 낮음	자율주행·3D스캔 룩. 인간의 데이터화
AB-18	리퀴드 라이트쇼	Liquid Light Show	psychedelic liquid light show, swirling oil-and-water projections, 1960s wet light	colored liquids swirl and bleed in psychedelic projection	도취·환각·60s 사이키델릭	AB-01·FX-21(프로젝션)·PAL	형태 통제 거의 불가(흐름만)	🟡 무정형 강함. 집단최면·축제 풍자
AB-19	노이즈/펄린 필드	Perlin Noise Field	perlin noise flow field, organic flowing filament lines, continuous noise contours	flowing noise-field lines drift and warp organically	유기적 흐름·혼돈 속 질서	AB-16·AB-13·CT	추상 강함/구상 결합 시 충돌	흐름장. 보이지 않는 힘(여론·자본)의 흐름
AB-20	모아레/간섭무늬	Moiré / Interference	moire interference pattern, overlapping grid beat pattern, optical vibration	overlapping patterns shimmer and beat with moire interference	불안정·교란·시각 진동	S-22·AB-21·NEG(가독)	영상서 깜빡임·플리커 유발 위험	🟡 두 격자 간섭. 정보 교란·은폐 메타포
AB-21	등고선/토포그래픽	Topographic Contour	topographic contour map, layered elevation lines, isoline terrain abstraction	contour lines ripple as the terrain morphs	지도·계층·데이터 추상	AB-19·STYLE(인포)·GT	선 정합 약함	지형도 룩. 계급·격차의 등고선 은유
AB-22	픽셀 소트	Pixel Sort	pixel sorting, vertical pixel smear, brightness-sorted streak cascade	bright pixels cascade and sort into vertical streaks	디지털 붕괴·해체·바이럴	S-22·AB-05·FX-06	글리치 패밀리(FX-06/05와 변종 구분)	🟡 후반 친화. 밈·SNS 와해 시그니처
AB-23	RGB 시프트 분해	RGB Channel Shift	RGB channel split, displaced color-channel separation, anaglyph shift	color channels separate and drift apart then snap back	오류·3D·불안·디지털 결함	FX-19(색수차)·S-22·AB-05	FX-19 색수차의 강한 변종	🟡 채널 분리=의도적 손상. 분열·이중성
AB-24	페이퍼 마블링	Paper Marbling	suminagashi paper marbling, swirling marbled ink on water, ebru fluid pattern	marbled ink swirls and combs into flowing patterns	전통·유체·고급 추상	AB-14(잉크)·MT(종이)·STYLE(회화)	빗질 패턴 통제 약함	먹물 마블링. 동양적 유체 미학
AB-25	크로마토그래피	Chromatography Bleed	chromatography color bleed, capillary ink separation, layered pigment migration	pigments separate and climb in chromatographic bands	분석·분리·진실 드러냄	AB-14·AB-12·MT(종이)	과정 시각화 = 모델 약함	성분 분리 메타포. 한 방울에서 갈라지는 진실
AB-26	스트로보스코프	Stroboscopic	stroboscopic multiple-exposure trail, strobe-frozen motion phases, chronophotography	strobe flashes freeze the motion into repeated phases	운동 분해·시간·반복	FX-08(궤적)·M22·AU-17	플래시 = 광과민 주의·타이밍 난해	마레이式 동작분해. 반복되는 행동 풍자
AB-27	롱엑스포저 라이트페인팅	Light Painting (Long-exposure)	long-exposure light painting, glowing light trails drawn in the dark, luminous calligraphy	luminous trails draw and linger across the dark frame	궤적·서사·시간의 흔적	FX-08·LIGHT(로우키)·M(슬로무브)	움직임 없으면 효과 소실	어둠 속 빛글씨. FX-08 정적 친족, 더 회화적
AB-28	네트워크 그래프	Network Graph / Node Map	abstract network graph, glowing nodes and connecting edges, data-web constellation	nodes light up and connections ripple across the network	연결망·권력 지도·관계 폭로	AB-13·FX-05·STYLE(인포)	노드 텍스트 환각·과밀 붕괴	🟡 카르텔·인맥도 시각화. 점=인물 선=관계
AB-29	히트맵 추상	Heatmap Abstraction	abstract heatmap, glowing intensity gradient blobs, density false-color field	heatmap blooms hot then cools across the field	밀집·관심·여론 강도	AB-07·CT·AB-21	정확 데이터 = 가짜(분위기)	관심·집중·위험 농도. 빨강=과열
AB-30	홀로그램 간섭	Hologram Interference	holographic interference fringes, diffraction rainbow shimmer, light-field iridescence	iridescent interference fringes shimmer and shift with angle	미래·환영·실체 없음	FX-05·AB-20·PAL(이리데센트)	무지갯빛 통제 약함	라이트필드 룩. 실체 없는 약속·환영 풍자
