ID	퓨전명	섞는 요소(양식/거장 A × B + 대략 비율)	결과 룩(새로 생기는 것)	Gemini 키워드(혼합 프롬프트)	추천 용도(풍자)	리스크/IP	비고
FUS-11	진경산수 매트페인팅	진경산수 실경 수묵담채(STYLE65) 65% × 시네마틱 매트페인팅(STYLE44) 35%	실경 화강암 봉우리·담채·안개에 영화적 대기 원근·갓레이 하늘·회화적 포토리얼 스케일이 — 조선 산하가 블록버스터 무대로 확장된 '서사적 진경'. 수묵 붓질 + 시네마 깊이감	mostly Korean jingyeong true-view ink landscape (textured brushwork on craggy peaks, light color wash, atmospheric mist), with a subtle cinematic matte-painting accent — vast atmospheric depth haze, dramatic god-ray sky, painterly grandeur	한국 산하 배경의 장대한 풍자 무대 — 전통 산수에 영화적 서사 스케일	인물은 작게(둘 다 배경 화풍). 매트페인팅 비중 과하면 수묵 붓질 소실. 특정 작가 작품 회피(STYLE65 룰)	검증: STYLE65·44 둘 다 등재. 둘 다 '광활한 환경' 지향 = 시너지. 배경 무대용. 영상=와이드 EWS 친화
FUS-12	키리가미 사이버펑크	종이오림 키리가미 콜라주(STYLE51) 60% × 사이버펑크 네온(STYLE21) 40%	층층 종이 오림·캐스트 섀도·찢긴 가위선에 네온 발광·홀로그램·젖은 반사가 스며 — 소박한 그림자극이 미래도시로 변한 '종이 디스토피아'. 촉각적 평면 레이어 + 네온 글로우	mostly layered paper-cutout collage (stacked construction-paper shapes, cast paper shadows, scissor-cut torn edges, flat tactile depth), with a subtle cyberpunk neon accent — neon edge-glow and holographic signage between the paper layers	디지털 감시·자본 디스토피아를 '아이들 공작'처럼 보이게 하는 반어 풍자	네온 과하면 종이 질감 소실. 정밀 디테일 불가(둘 다 단순화). 정지 포맷 — 영상은 시작프레임 경유	STYLE51·21 둘 다 등재. 소박(종이)×미래(네온) 대비가 반어. 이미지 우선
FUS-13	유화 인포그래픽	고전 유화 임파스토(STYLE18) 60% × 아이소메트릭 벡터(STYLE43) 40%	유화의 붓터치·임파스토 질감·고전 색조화 위에 등각 2:1 투영·솔리드 색면·긴 그림자 다이어그램이 — 고전 회화가 '조직도'로 재편된 '회화적 시스템도'. 붓질 + 등각 도식 충돌	mostly classical oil painting (visible impasto brushstrokes, classical color harmony), with a subtle isometric-vector accent — 2:1 isometric projection of figures and objects, flat solid color blocks, soft long shadows	시스템·조직·관료 구조 풍자 — 고전 회화의 격조로 차가운 시스템을 포장	등각 투영 비중 과하면 유화 질감 소실(이질적 페어 — 비중 엄수). 인물 표정 약화	실험적 조합(STYLE18×43) — 회화 온기 vs 도식 통제 긴장이 핵심. 이미지 우선. 비중 드리프트 주의
FUS-14	조선 풍속화 리소그래프	조선 풍속화 김홍도 화풍(STYLE66) 65% × 리소그래프 프린트(STYLE32) 35%	담채 풍속 군상·자신감 있는 먹선·은근한 해학에 리소의 2~3색 한정 스폿 잉크·레지스트레이션 어긋남·하프톤·종이 그레인이 — 전통 세태화가 인디 진(zine)으로 인쇄된 '펑키 풍속화'. 담채 군상 + 어긋난 스폿 컬러	mostly Joseon pungsokhwa genre painting (light watercolor on hanji, casual confident ink linework, candid everyday figures, subtle humor), with a subtle risograph accent — 2-3 limited spot inks, slight color-layer misregistration, halftone grain	서민 일상·세태 풍자 — 전통 풍속의 관찰력 + 인디 진의 펑키 친근함	리소 비중 과하면 담채 변질. 작가 고유 작품 회피(STYLE66 룰). 글자 정밀 손실	검증: STYLE66·32 둘 다 등재. 둘 다 '서민·일상' 정서 = 의미 시너지. 한국 세태 풍자 정본. 이미지 우선
FUS-15	이집트 벽화 인포그래픽	이집트 벽화 복합 옆모습(STYLE69) 60% × 플랫 인포그래픽(STYLE28) 40%	복합 옆모습·레지스터 띠·크기 위계·평면 색면에 벡터 아이콘·도식 라벨·솔리드 배경이 — 고대 위계 도해가 '현대 조직 인포그래픽'으로 기능하는 '신성 도표'. 레지스터 + 다이어그램 친연	mostly ancient Egyptian wall painting (composite profile figures, horizontal registers, flat color fields, hierarchical scale by rank), with a subtle flat-infographic accent — vector icons, schematic annotation blocks, clean solid backgrounds	권력 위계·서열·조직도 풍자 — 고대 영원화 도식 + 현대 인포그래픽 (둘 다 '위계 시각화')	라벨 글자=한글 따옴표+후반 자막(PE-32). 인물 경직(둘 다 도식 화풍)	검증: 이집트 벽화는 본래 '위계 도해' — 인포그래픽과 기능 동형. STYLE67(고구려)으로도 변주 가능. 이미지 우선
FUS-16	표현주의 글리치	독일 표현주의 회화(STYLE58) 60% × 디지털 글리치(KV-15 결) 40%	왜곡 형태·들쭉 윤곽·비자연 감정색에 데이터모싱·RGB 채널 분리·스캔라인이 — 심리적 불안이 디지털 신호 붕괴로 증폭된 '글리치 표현주의'. 회화적 왜곡 + 디지털 오류 시너지	mostly German Expressionist painting (distorted forms, jagged bold outlines, non-naturalistic emotional color, harsh angular brushwork), with a subtle digital glitch accent — RGB channel split, datamosh tearing, scanline displacement	디지털 시대 불안·정보 과부하·심리 붕괴 풍자 — 표현주의 격동 + 글리치 신경증	얼굴 왜곡 이중(표현주의+글리치)으로 식별 강하게 약화. 작가 작품 회피(STYLE58 룰)	검증: STYLE58 등재. 왜곡(회화)×붕괴(디지털) = 감정 동형 시너지. 영상=모핑·디스토션 친화
FUS-17	비잔틴 이콘 회로기판	비잔틴 이콘 금박 도상(STYLE70) 60% × 회로기판·테크 패턴(인포/사이버 결) 40%	금박 평면 배경·정면 성상·후광에 PCB 회로 트레이스·골드 핀·테크 패턴이 금선을 대체 — 종교적 성상이 '디지털 신'으로 박제된 '테크 이콘'. 금박 + 회로 둘 다 금색이라 자연스러운 합성	mostly a Byzantine icon (flat gold-leaf background, frontal solemn figure, gilded halo, egg-tempera modeling), with a subtle circuit-board accent — golden PCB traces and tech patterns replacing the gilt linework, halo as a circuit ring	테크 거물·AI·플랫폼 숭배 풍자 — 종교적 신격화 + 디지털 우상화	인물 도식화로 닮음 약화. AI 표기(§8) 권장(신격화 오인 방지). 금색 톤 정합 유지	검증: STYLE70 등재(금박 도상). 금박↔회로 금색 = 시각 시너지 + '디지털 신' 의미. 이미지 우선
FUS-18	아르누보 사이버펑크	아르누보 일러스트(STYLE74) 60% × 사이버펑크 네온(STYLE21) 40%	유려한 휘플래시 S곡선·식물 장식 평면·우아한 윤곽에 네온 발광·홀로그램·테크 디테일이 식물 모티프를 대체 — 세기말 우아함이 미래로 이식된 '네온 누보'. 유기 곡선 + 네온 글로우 충돌	mostly Art Nouveau illustration (sinuous whiplash curves, flat decorative fields, ornate botanical framing, elegant outlined figures), with a subtle cyberpunk neon accent — neon glow tracing the curves, holographic ornament, tech-organic detail	기업·럭셔리 테크 브랜드의 우아한 디스토피아 풍자 — 세기말 장식 + 미래 네온	네온 과하면 누보 곡선 소실. 작가 고유 인물 회피(STYLE74 룰). 곡선 과밀 산만 주의	검증: STYLE74 등재(휘플래시 곡선). 유기 곡선 vs 차가운 네온 대비. 이미지 우선
FUS-19	동화책 누아르	동화책 스토리북(STYLE39) 60% × 흑백 필름 누아르(STYLE06) 40%	포근한 그림책 질감·둥근 친근 형태·따뜻한 팔레트에 누아르의 하드 그림자·로우키·블라인드 줄무늬가 — 순진한 동화가 범죄극 음영으로 어두워진 '불길한 그림책'. 포근함 + 위협 충돌이 반어 극대화	mostly a warm children's storybook illustration (soft textured paint, rounded friendly shapes, naive charm), with a subtle film-noir accent — hard low-key shadows, venetian-blind stripes, ominous high-contrast lighting creeping in	무거운 범죄·부패를 '동화'로 포장하는 반어 풍자 — 순진함의 가면 아래 위협	누아르 비중 과하면 동화 포근함 소실(반어 효과 죽음). 균형이 생명	검증: STYLE39·06 둘 다 등재. 순진(동화)×위협(누아르) = 강한 반어. 노뮤트 톤 궁합. 이미지 우선
FUS-20	민화 인포그래픽	한국 민화(STYLE64) 65% × 아이소메트릭 벡터(STYLE43) 35%	민화의 평면 길상·먹선·오방색에 등각 2:1 투영·솔리드 색면·긴 그림자가 — 전통 길상화가 '구조 다이어그램'으로 재편된 '등각 민화'. 둘 다 평면·무원근(민화)↔등각이라 비교적 안정. 광물색 + 등각 도식	mostly Korean minhwa folk painting (bold ink outlines, flat bright mineral colors, naive lively forms), arranged in a subtle isometric-vector layout — 2:1 isometric projection, soft long shadows, diagrammatic spatial structure	한국 사회·조직 구조를 전통 길상화로 도해하는 풍자 — 친근한 민화 + 차가운 시스템도	등각 비중 과하면 민화 평면 길상감 소실. 인물 표정 약화	STYLE64·43 둘 다 등재. 한국 고유. 민화 무원근↔등각 투영 긴장이 포인트. 이미지 우선
FUS-21	렘브란트 클레이	렘브란트 키아로스쿠로(LIGHT10) 60% × 클레이/스톱모션(STYLE15) 40%	점토 퍼펫의 지문 질감·수공예 조형에 단일 광원의 황금 삼각 하이라이트·깊은 명부가 — 코믹한 클레이 인형에 거장 회화의 무게가 실린 '격조 있는 점토극'. 수공예 질감 + 명화 조명	mostly claymation stop-motion (visible clay fingerprints, handcrafted puppet forms, slightly jerky motion feel), lit with a subtle Rembrandt chiaroscuro accent — single warm key light, golden triangle highlight, deep shadow falloff	정치 코미디·풍자 인형극 — 클레이의 유머 + 거장 조명의 진지한 권위(부조화 웃음)	조명 코드라 화풍 충돌 낮음(안정). 모션 일관성 리스크(클레이). 광원 과강하면 점토 질감 평탄	LIGHT10×STYLE15. 조명+화풍 = 안정 페어(FUS-02 패턴). 영상 중심(스톱모션). 코믹 풍자
FUS-22	우키요에 인상주의	우키요에 목판화(STYLE20) 60% × 인상주의(STYLE55) 40%	평면 목판 윤곽·전통 패턴에 인상주의의 짧은 깨진 붓터치·점박이 자연광·순색 분해가 — 판화 평면성이 빛의 진동으로 풀린 '재패니즘 회귀'(역사적으로 우키요에가 인상주의에 영향→되돌림). 윤곽 + 붓터치 광학혼합	mostly a ukiyo-e woodblock print (flat bold outlines, traditional patterns, flat perspective), with a subtle Impressionist accent — short broken visible brushstrokes and dappled light dissolving the flat color fields	순간의 빛·계절·일상 풍자 — 양식미 + 인상주의 화사함	붓터치 과하면 목판 평면감 소실. 작가 판화 구도 회피(STYLE20 룰)	검증: 우키요에→인상주의 역사적 영향(자포니즘) 되감기 = 의미 깊은 시너지. STYLE20·55 둘 다 등재. 이미지 우선
FUS-23	선동포스터 옵아트	선동 포스터 구성주의(STYLE36) 60% × 옵아트(STYLE63) 40%	대각 구성·삼색 선전·영웅 로우앵글에 옵아트의 고대비 기하 착시·모아레 진동이 — 선전의 확신이 현기증으로 흔들리는 '어지러운 선동'. 대각 구성 + 착시 진동 시너지	mostly a constructivist propaganda poster (bold diagonals, red-black-cream palette, heroic low-angle figure, slogan blocks), with a subtle Op-Art accent — high-contrast geometric optical-illusion patterns producing moiré vibration in the background	선동·여론 조작의 현기증·기만 풍자 — 확신에 찬 선전이 시각적으로 무너지는 불안정	실존 정권 상징 회피(STYLE36 룰). 옵아트 과하면 선전 가독성 소실. 작가 작품 회피(STYLE63)	검증: STYLE36·63 둘 다 등재. 둘 다 강한 그래픽·대각/패턴 = 시너지. '어지러운 정국' 메타포. 이미지 우선
FUS-24	수채 사이버펑크	수채화(STYLE17) 60% × 사이버펑크 네온(STYLE21) 40%	수채의 부드러운 번짐·종이 질감·투명감에 네온 발광·홀로그램 반사가 물에 번지듯 스며 — 차가운 디스토피아가 서정적으로 녹은 '젖은 네온'. 수채 번짐 + 네온 글로우. 하드한 사이버펑크를 부드럽게 전복	mostly a soft watercolor painting (bleeding washes, paper texture, transparent layers), with a subtle cyberpunk neon accent — glowing neon and holographic reflections bleeding softly into the wet washes	디지털 디스토피아 속 인간적 고독·서정 풍자 — 차가운 미래 + 수채의 비애	네온 과하면 수채 투명감 소실(하드 글로우 충돌). 피사체 경계 소실 주의	STYLE17·21 둘 다 등재. 하드(네온)×소프트(수채) 대비 = 정서 전환 시너지. 이미지 우선
FUS-25	민화 사이버펑크	한국 민화 까치호랑이(STYLE64) 65% × 사이버펑크 네온(STYLE21) 35%	민화의 평면 길상·골계 호랑이·오방색에 네온 발광·홀로그램 간판·젖은 반사가 — 전통 해학이 미래도시에 박제된 '네온 민화'. 평면 광물색 + 네온 글로우. 셰이딩 없는 고대비 유지	mostly Korean minhwa folk painting (bold ink outlines, flat mineral colors, comical tiger, naive forms), with a subtle cyberpunk neon accent — holographic signage glow and wet neon reflections over the flat color fields, no soft shading	기술 자본·디지털 감시의 한국적 풍자 — 전통 호랑이가 네온 디스토피아를 골계로 응시	네온 과하면 민화 광물색·평면 소실. FUS-01(우키요에)의 한국판 — 둘 다 평면 판화/민화라 네온과 동일 원리	한국 고유 + 미래. 민화(검증)×네온. FUS-01과 자매(일/한 대비). 이미지 우선
FUS-26	스테인드글라스 인포그래픽	스테인드글라스(STYLE41) 60% × 플랫 인포그래픽(STYLE28) 40%	납선 분할·발광 채색 유리 패널에 벡터 아이콘·도식 라벨·솔리드 색면이 유리 칸을 채워 — 성스러운 창이 '시사 설명도'로 기능하는 '성역화된 다이어그램'. 납선 분할 + 도식 친연(둘 다 칸 분할)	mostly a stained-glass window (bold black leaded outlines dividing luminous saturated colored panes, backlit glow), with a subtle flat-infographic accent — schematic icons and annotation labels filling the glass segments	정책·이슈를 '성역화'해 설명하는 풍자 — 신성한 권위로 시사 도식을 격상	라벨 글자=한글 따옴표+후반 자막(PE-32). 얼굴 분절로 식별 저하(스테인드글라스)	STYLE41·28 둘 다 등재. 납선 칸 분할↔인포 블록 = 구조 동형 시너지. 백라이트(LIGHT16) 동반. 이미지 우선
FUS-27	목판화 글리치	리노컷·목판화(STYLE33) 60% × 디지털 글리치(KV-15 결) 40%	양각 조각 흑백·거친 게이지선·고대비 그래픽에 데이터모싱·픽셀 변위·스캔라인이 — 거친 선동 판화가 디지털 신호로 찢긴 '글리치 우드컷'. 조각 흑백 + 디지털 오류. 시위·투쟁 톤 + 정보 붕괴	mostly a bold linocut woodcut print (thick carved black shapes, rough gouge textures, high-contrast graphic forms), with a subtle digital glitch accent — pixel-block displacement and datamosh tearing fracturing the carved edges	디지털 시대 시위·노동·저항의 정보 검열·왜곡 풍자 — 민중 판화 + 디지털 탄압	글리치 과하면 양각 조각감 소실. 중간톤 소실(둘 다 고대비)	STYLE33 등재. 거친 저항(목판)×붕괴(글리치) = 의미 시너지. 시위 이슈. 영상=글리치 모션 친화
FUS-28	불화 바포웨이브	불화·탱화(STYLE68) 60% × 바포웨이브·신스웨이브(STYLE49) 40%	금니 후광·심광 도상·심부 광물색에 마젠타-시안 그라데이션·네온 그리드·크롬이 — 성스러운 불화가 디지털 노스탤지어로 박제된 '네온 탱화'. 금니 후광 + 네온 글로우. 신성 + 키치 아이러니	mostly a Korean Buddhist taenghwa (gold-pigment halo, deep mineral reds and blues, radiant sacred aura, symmetrical iconography), with a subtle vaporwave accent — magenta-cyan gradient haze, faint neon grid, chrome glints	종교·영성 산업의 상업화·우상화 풍자 — 신성 도상 + 소비 키치 아이러니	인물 도식화로 닮음 약화. AI 표기(§8) 권장. 네온 과하면 금니 도상 변질	검증: STYLE68 등재(금니 후광). 한국 불화×80s 키치 = '성스러움의 소비' 풍자. FUS-04(바로크)의 한국 종교판. 이미지 우선
FUS-29	펜 크로스해치 수채	펜 크로스해치 잉크화(STYLE31) 60% × 수채화(STYLE17) 40%	조밀한 교차선·점각·검은 윤곽의 신문 삽화에 수채의 부드러운 색 번짐·종이 질감이 — 신랄한 op-ed 캐리커처가 색으로 물든 '채색 풍자 삽화'. 펜선 골격 + 수채 워시. 전통 에디토리얼 일러스트 정석	mostly a pen-and-ink crosshatch illustration (dense crosshatching, fine stippling, bold black contour lines), with a subtle watercolor accent — soft transparent color washes bleeding over the linework, paper texture	신문 op-ed 정치 캐리커처 풍자 — 신랄한 펜선 + 수채의 인간적 온기(전형적 에디토리얼)	수채 과하면 펜선 신랄함 흐려짐. 선 과밀 시 뭉개짐(STYLE31)	STYLE31·17 둘 다 등재. 펜선(구조)×수채(색) = 고전 일러스트 정석 시너지. WSJ식 풍자. 이미지 우선
FUS-30	조선 풍속화 네온	조선 풍속화(STYLE66) 65% × 사이버펑크 네온(STYLE21) 35%	담채 풍속 군상·먹선·은근한 해학에 네온 간판·홀로그램·젖은 반사가 — 전통 시장·거리 군상이 미래도시로 옮겨간 '네온 풍속화'. 담채 군상 + 네온 글로우. 일상 관찰 + 디스토피아	mostly Joseon pungsokhwa genre painting (light watercolor on hanji, casual ink linework, candid everyday crowd, subtle humor), with a subtle cyberpunk neon accent — holographic signage and wet neon glow over the everyday scene	미래·기술 사회의 서민 일상 풍자 — 전통 세태 관찰 + 디스토피아 네온	네온 과하면 담채 변질. 작가 작품 회피(STYLE66 룰). 얼굴 개별 식별 약함	STYLE66·21 둘 다 등재. 일상(풍속)×미래(네온) = '변치 않는 서민 삶' 풍자. 이미지 우선
FUS-31	아르데코 옵아트	아르데코 포스터(STYLE37) 60% × 옵아트(STYLE63) 40%	아르데코의 유선형 기하·선버스트·금흑 배색에 옵아트의 고대비 패턴 착시·모아레 진동이 — 우아한 장식이 현기증으로 진동하는 '키네틱 데코'. 기하 장식 + 착시(둘 다 기하 기반 시너지)	mostly an Art Deco poster (streamlined geometric forms, gold-and-black palette, symmetrical sunburst), with a subtle Op-Art accent — high-contrast geometric optical patterns producing moiré shimmer and illusory movement	럭셔리·행사의 화려한 현기증·기만 풍자 — 고급 장식이 어지럽게 흔들림	옵아트 과하면 데코 우아함 소실. 인물 디테일 양식화(둘 다 패턴). 작가 작품 회피(STYLE63)	STYLE37·63 둘 다 등재. 둘 다 기하·대칭 = 구조 시너지. 배경·프레임 권장. 이미지 우선
FUS-32	초현실주의 매트페인팅	초현실주의(STYLE60) 60% × 시네마틱 매트페인팅(STYLE44) 40%	꿈 논리 부조리 병치·정밀 환영·기괴한 스케일 변화에 영화적 대기 원근·갓레이 하늘·장대한 회화 환경이 — 부조리한 꿈이 블록버스터 무대로 펼쳐진 '서사적 초현실'. 환영 정밀 + 시네마 스케일 시너지	mostly illusionistic Surrealism (dreamlike impossible juxtapositions, crisp photoreal precision, uncanny scale shifts, long shadows), with a subtle cinematic matte-painting accent — vast atmospheric environment, dramatic god-ray sky, painterly grandeur	부조리한 정국·이면의 진실을 장대한 무대로 폭로하는 풍자 — 꿈 + 서사 스케일	상징 과밀 산만 주의. 작가 모티프(녹는 시계 등) 회피(STYLE60 룰). 인물 작게	STYLE60·44 둘 다 등재. 둘 다 '광활·환영' 지향 = 시너지. 풍자 무대 세트. 이미지 우선
