ID	분류	한국어명	영문명	용도(노뮤트)	핵심 키	IP 주의	Kling 전이성	비고
S-17	광고·포스터	플랫 스티커 일러스트	Flat Sticker Illustration	친근 라이프스타일	bold white outline, muted fresh colors	—	🟡	스티커 애니메이션 가능
S-18	광고·포스터	3D 플러시 인형	3D Plush Toy	캐릭터화, 밈	fluffy fur, toy material, glossy nose	기존 IP 캐릭터 재현 금지	✅	플러시 캐릭터 영상화 가능
S-19	광고·포스터	90s 디스포저블 플래시	90s Disposable Flash	청춘·밤·회고	direct flash, grain, hot highlights	—	✅
S-20	광고·포스터	골든아워 블라인드 맥시멀	Golden-Hour Maximalist	라이프스타일·환경 서사	blinds striped shadows, retro-maximalist interior	—	✅	줄무늬 광 = 조명 모듈처럼 사용
S-21	광고·포스터	아트토이 블리스터팩	Designer Art-Toy	캐릭터화, 굿즈 밈	vinyl figure, blister-pack packaging	—	🅂	패키지 = 정지 포맷
S-22	디지털·코믹	글리치 아트	Glitch Art Distortion	테크·AI·시스템 충돌	pixel displacement, scanline, 2-color neon	—	✅	글리치/datamosh = 영상 네이티브
S-23	디지털·코믹	클래식 슈퍼히어로 코믹	Classic Superhero Comics	액션·저항 테마	bold outlines, primary colors, halftone	DC/마블 캐릭터 금지	✅	2D 코믹 애니로 전이
S-24	디지털·코믹	모노크롬 시네마틱	Monochrome Cinematic Editorial	인물 심층·프리미엄	B&W, softbox side light, 85mm f/1.8	—	✅	identity preservation 패턴 부록 참조
S-25	디지털·코믹	미니미 제품 하이브리드	Mini-Me Product Hybrid	제품·시즌 캠페인	realistic product + mini 3D SD characters	실브랜드 금지	✅★	미니 캐릭터 "움직임"이 본진 — 영상이 더 강함
S-26	디지털·코믹	앰버 빔 무드	Amber-Beam Cinematic Mood	고독·성찰·상실	amber beam, deep void, head bowed	—	✅
S-27	디지털·코믹	군중 속 정지 인물	Frozen-in-Crowd Motion Blur	고립·소외·결단	subject sharp + crowd motion blur	의류 로고 제네릭	✅★	시간성 그 자체 — 영상이 본진. Wong Kar-wai 변종 포함
S-28	디지털·코믹	VHS 캠코더	VHS Camcorder Aesthetic	90s 회고·밤문화	●REC UI, scanlines, date stamp	—	✅	STYLE05와 연계
S-29	디지털·코믹	픽사 아바타	Pixar-Style 3D Avatar	프로필·캐릭터 소개	head-and-shoulders, big eyes, white bg	—	✅	토킹헤드 영상화 적합
S-30	디지털·코믹	수채 에디토리얼	Watercolor Editorial Portrait	감성·문화 이슈	transparent watercolor, 얼굴 사실+배경 추상	—	✅	STYLE14·17과 연계
S-31	필름·아날로그	CCD 디지카메 스트릿	CCD Digicam Street	청춘·서브컬처	Dutch angle, CCD overexposure, 전경 장애물	—	✅	핸드헬드 스트릿 영상
S-32	필름·아날로그	포트라 야간 플래시	Kodak Portra Night Flash	우정·관계(2인)	Portra 800, flash on faces, 2-person	—	✅
S-33	필름·아날로그	소프트 다큐 일상	Soft Documentary Everyday	일상·청춘·계절	muted Portra colors, unposed, 관찰자	—	✅	STYLE08·V11과 연계
부록	공식	나노바나나 6슬롯 공식	NB Prompt Formula	이미지 1차 합성(스타트프레임 제작)	[피사체]+[행동]+[장면]+[스타일/분위기]+[비율&해상도]+[특이사항/텍스트]	—	파이프라인	스타일 슬롯에 S-코드 프롬프트 조각 삽입
