ID	상황 유형	영문명	연출 방법(한 프레임에 상황이 읽히게)	Gemini 키워드	카드 적용 노트	추천 조합(샷·앵글·구도·블로킹·조명 ID 참조)	비고
SG-12	뒷거래·전달	Backroom Deal / Handover	두 손이 테이블 밑·커튼 뒤·모퉁이에서 봉투·서류를 은밀히 주고받음. 얼굴은 어둠·프레임 밖, 거래 물건에만 빛. 주변 차폐물로 '몰래'를 시각화, 시선은 좌우 살핌	hands exchanging an envelope in the shadows under a table, covert handover, faces in dark only the object lit, furtive glance	건네는 행위(GST-24)+은밀 조명+차폐 = '뒷거래'가 한 컷에. 얼굴 익명화로 누구든 대입. 봉투 속 내용은 암시	GST-24(건네기)·COMP-12(전경차폐)·LIGHT14(로우키)·LIGHT41(단일전구)·CD-09(증거디테일)·S13(인서트)	정경유착·뇌물 풍자. 손만 클로즈업(인서트)도 강력
SG-13	감시당함	Being Watched	대상이 화면 한쪽에 작게, 반대 전경에 감시의 기표(망원렌즈·CCTV·블라인드 틈·어깨 너머 실루엣)를 크게 배치. 대상은 무방비, 보는 자는 익명. 블라인드 줄무늬 그림자로 감시감	subject small and unaware, large surveillance element in foreground, CCTV or telephoto watching, venetian blind shadow stripes	'보는 자 vs 보이는 자'의 비대칭 = 감시 권력. 전경 차폐가 곧 감시자의 시점. 망원 압축으로 거리감	COMP-11(프레임속프레임)·COMP-12(전경차폐)·LIGHT44(누아르슬랫)·L01(망원)·CD-17(감시·관찰됨)·LIGHT53(관제실)	민간사찰·도청 풍자. 정치스릴러(GEN-16) 결
SG-14	무너짐·붕괴	Collapse / Downfall	기울거나 부서지는 한 찰나 — 무너지는 동상·기우는 단상·금 간 벽. 인물이면 비틀거리는 자세, 그림자가 길게 쓰러지는 방향으로. 캔티드 하이앵글로 불안정을 이중 증폭	a toppling statue or tilting podium mid-collapse, cracks spreading, figure staggering, long shadow falling, canted high angle	'무너지는 중'의 정지 = 몰락의 정점. 더치+하이=위축+불안 이중. 동상=환유(권위). 붕괴 방향이 시선 동선	H10(캔티드하이)·COMP-15(동적비대칭)·FX(균열·먼지)·LIGHT59(꺼지는빛)·CD-13(몰락·실각)·WX(흙먼지)	실각·탄핵·신뢰붕괴 풍자. SG-05 규모압도의 전복판
SG-15	시선의 표적	Target of All Eyes	다수의 시선벡터가 한 점(한 인물·한 물건)으로 수렴 — 모두가 그를 보고, 그만 모름(또는 정면으로 마주봄). 방사·삼각 시선구도로 '주목의 대상'을 시각 무게 중심에 못박음	all gazes converging on one subject, every eyeline pointing to the focal figure, radial attention, the center of all looks	시선벡터 수렴 = 살리언스 최강 신호(누가 화제인가). 표적이 모르면 풍자·알면 대결. 시선 삼각으로 음모 긴장	COMP-16(방사)·COMP-37(시선삼각)·VR-23(시선벡터)·VR-26(살리언스)·BLK-05(아이라인)·CD-19(결의)	여론의 도마·스캔들 중심 풍자. SG-04 고립과 구분(주목 vs 소외)
SG-16	이중성·양면	Two-Faced Duality	한 인물의 두 얼굴을 한 컷에 — 거울에 비친 다른 표정, 좌우 보색광으로 가른 얼굴, 앞은 미소·반사는 냉소. 가면과 민낯, 공적 얼굴과 사적 얼굴의 동시 노출	a figure and its mirror reflection showing opposite expressions, face split by complementary light, smile in front cold in reflection	거울·보색분할 = 위선·표리부동의 직접 시각화. 좌=공적·우=사적 배치. 진짜/가짜 미소(EM)를 양면에	COMP-32(거울대칭)·LIGHT56(보색분리)·VR-16(시각은유)·EM(진짜vs가짜미소)·CD-11(위선폭로)·O05(3/4)	표리부동·말바꾸기 풍자. SG-11 폭로와 친족(자아 분열)
SG-17	진입·침범	Intrusion / Entry	문·문턱·경계를 넘어 한 인물이 다른 이의 공간으로 밀고 들어옴. 문틀(프레임속프레임)이 침범의 선. 들어오는 자=실루엣·전진, 맞는 자=위축·후퇴. 경계선이 곧 권력 다툼	one figure crossing a threshold into another's space, framed in a doorway, advancing silhouette versus retreating occupant	문턱=공간 소유권의 드라마(진입=침범). 다가감 vs 물러남으로 공세/수세. 들어오는 자 역광 실루엣=위협	BLK-07(등장퇴장동선)·BLK-10(접근/회피)·COMP-11(프레임속프레임)·LIGHT12(역광)·LIGHT13(실루엣)·GEN-16	압수수색·점거·강행 풍자. SG-03 대치의 동선판
SG-18	군림·과시	Dominance Display	권력자가 공간 한가운데를 독점하고 팔 벌린 파워포즈·턱 들기로 영역을 채움. 배경엔 그를 떠받치는 도열·상징물. 로우앵글로 우러르고 좌우 대칭으로 군림의 질서	a figure dominating center stage in an expansive power pose, chin up, symmetrical formation behind, low angle worship	공간 점유+파워포즈+도열 = 군림의 과시(원맨쇼). 대칭=인공적 질서(블랙코미디). 스포트라이트로 1인 무대	BLK-15(일렬도열)·COMP-14(대칭중앙)·EM(파워포즈)·H03(로우)·LIGHT20(스포트)·CD-12(권력과시)	취임·열병·자화자찬 풍자. SG-06 위계의 1인 집중판
SG-19	막다른 궁지	Cornered / Trapped	대상을 프레임 구석·벽 모서리로 몰아넣고 빠져나갈 공간을 0으로. 위·옆에서 압박 요소가 조여들고 대상은 움츠림. 망원 압축으로 갇힌 느낌, 그림자가 가두는 창살처럼	subject backed into a corner against a wall, no escape space, pressing elements closing in, telephoto compression, trapped	탈출구 부재=궁지의 시각 문법. 망원 겹침으로 답답함. 창살·블라인드 그림자가 우리(cage) 환유. 표정은 위축	COMP-21(프레임채우기)·COMP-41(망원압축)·LIGHT44(블라인드슬랫)·L01(망원)·EM(위축·공포)·CD-06(긴박)	궁지 몰린 권력·해명 압박 풍자. SG-10 포위와 구분(공간 봉쇄)
SG-20	저울질·갈림길	Weighing / Crossroads	한 인물을 가운데 두고 양옆에 상반된 선택지·결과를 대칭 배치(천사vs악마, 두 갈래 길, 양손의 저울). 인물 시선·몸이 한쪽으로 살짝 기울어 '망설임'을 드러냄	a figure at a crossroads between two opposing options, symmetrical choice on each side, body leaning slightly one way, dilemma	양자택일의 시각화 — 좌우 대칭이 곧 '갈림'. 두 선택지=환유. 기우는 방향이 암시. 저울·갈림길 라벨은 후반	COMP-14(대칭중앙)·COMP-01(좌우분할)·VR-16(시각은유)·BLK-08(투핸더)·LIGHT56(보색분리)·CD-15(아이러니)	정책 선택·진영 사이 풍자. SG-03 대치와 구분(내적 갈등)
SG-21	연쇄·도미노	Chain Reaction / Domino	동일 요소를 반복 정렬해 하나가 넘어지며 다음을 치는 연쇄를 한 프레임에 — 도미노 줄, 줄줄이 기우는 인물들, 첫 패가 막 쓰러지는 찰나. 유도선이 연쇄 방향을 따라감	a row of dominoes mid-fall, chain reaction frozen, identical elements toppling in sequence, leading line along the cascade	반복+결정적순간 = '연쇄 책임/파급'의 시각화. 첫 도미노=원인(환유). 줄의 방향이 시선 동선. 정지가 연쇄를 머금음	COMP-25(반복)·COMP-07(유도선)·VR-30(시각애너포라)·SG-02(인과)·SG-07(결정적순간)·L13(딥포커스)	연쇄 부도·줄사퇴·파급 풍자. SG-02 인과의 다단계판
SG-22	저항·맞섬	Defiance / Standing Ground	압도적 다수·거대물 앞에 홀로 버티고 선 1인. 다수는 한쪽에서 밀려오고, 1인은 정면으로 마주 서 물러서지 않음(탱크맨 구도). 작지만 시각 무게는 살리언스로 1인에게	a lone figure standing firm against an overwhelming force, the many pushing from one side, one refusing to yield, facing it head-on	'다수 vs 홀로 맞섬'의 비대칭이 곧 용기·저항. 1인은 작아도 색·초점·고립으로 시선 독점. 다수는 군중 처리	COMP-22(규모병치)·COMP-15(동적비대칭)·BLK-10(접근/회피)·VR-26(살리언스)·VR-11(시각무게)·CD-19(결의)	시위·내부고발·약자저항 풍자. SG-05와 구분(압도당함 아닌 맞섬)
SG-23	침묵·외면	Silence / Turning Away	도움·책임이 필요한 상황을 두고 주변이 등 돌리거나 고개 숙여 외면. 전경에 호소하는 손·쓰러진 이, 후경엔 무관심하게 지나가거나 돌아선 다수. 외면의 방향이 메시지	a figure in need in the foreground, surrounding people turning their backs or looking away, indifferent crowd passing, averted	등돌림=관계 단절·방관의 강한 신호. 전경 호소 vs 후경 외면 = 무관심 고발. 다수는 뒤통수·실루엣 처리	BLK-12(가로막기/등돌리기)·BLK-18(배경반응)·COMP-31(전중후경)·GST-18(외면)·EM-13(회피시선)·CD-03(고립)	직무유기·사회적 방관 풍자. SG-15 주목의 정반대(외면)
SG-24	저무는·시대의 끝	End of an Era	한 시대·체제의 종말을 황혼·잔광·시드는 상징으로 — 내려오는 깃발, 꺼져가는 네온 간판, 마지막 빛 속 빈 권좌. 따뜻한 잔광이 사그라들며 긴 그림자. 부재와 황혼의 결합	a flag being lowered at dusk, a neon sign flickering out, the last light on an empty throne, warm afterglow fading, long shadows	황혼·잔광=종말의 보편 기표. 시드는 상징물=환유(체제). 골든아워와 다른 '꺼지는 빛'. 여운의 여백	LIGHT59(꺼지는빛)·LIGHT13(실루엣)·COMP-04(부재)·COMP-17(여백)·CD-08(헌사)·WX(황혼)	정권 말기·시대 교체 풍자. SG-09 부재 + SG-14 붕괴의 서정판
SG-25	얽힘·공모	Entanglement / Collusion	여럿이 보이지 않는 끈·악수·서류로 서로 얽혀 한 덩어리를 이룸 — 맞잡은 손들의 고리, 서로 기댄 진영, 한 묶음으로 읽히는 근접 배치. 게슈탈트 근접으로 '한패'를 시각화	multiple hands clasped in an interlocking ring, figures leaning into one cluster, a tangled web reading as one bloc, proximity grouping	근접·유사성 = '한패·카르텔'의 시각 문법(얽힘=공모). 2인 상한이면 둘의 결탁, 다수면 군집 실루엣. 끈·거미줄은 후반	COMP-02(옹기종기)·VR-04(근접)·VR-12(유사성)·GST-15(어깨동무)·BLK-03(삼각블로킹)·CD-16(관료적부조리)	담합·짬짜미·내부 결탁 풍자. SG-12 뒷거래의 집단판
