ID	한국어명	영문명	Gemini 키워드	영상(Kling) 모션 노트	정서/용도	추천 조합	리스크	비고
WX-14	뇌우+번개	Thunderstorm + Lightning	thunderstorm, dramatic lightning flash illuminating the scene	sudden lightning flash lighting the scene, then dark, rain	공포·극적·재난	폭우·역광·실루엣	플래시 타이밍 제어 어려움	영상 한정 강점. WX-02 세트
WX-15	잔뜩 흐림	Overcast Gloom	overcast gloom, flat grey diffused sky, shadowless soft light	still heavy grey clouds, minimal motion	침울·무기력·일상	무그림자·저채도	—	무드 베이스. SH-04 무그림자
WX-16	무더위(습)	Humid Tropical	humid muggy air, tropical heat, sticky sheen, hazy atmosphere	faint heat haze, slow heavy air, sweat sheen on skin	나른·답답·열대	땀·연무·저채도	—	여름. 동남아·폭염
WX-17	서리/얼음	Frost / Ice Crystals	frost crystals, ice-glazed surfaces, frozen breath, sparkling rime	static glittering frost, slow forming ice	혹한·정적·새벽	차가운 색온도·아침광	—	겨울 새벽. 디테일 클로즈업
WX-18	수증기/입김	Steam / Vapor	rising steam, visible breath in cold air, manhole steam vapor	steam slowly rising and curling, breath puffing	도시·추위·생활감	차가운 색온도·역광	—	겨울 도시·새벽 골목
WX-19	연기(산업/산불)	Industrial / Wildfire Smoke	thick smoke plume, wildfire haze, orange-tinted smoky air	smoke billowing and drifting, embers floating	재난·위기·환경	주황 역광·실루엣	—	산불·화재 보도. 시의성
WX-20	골든아워 먼지	Golden-hour Dust	golden hour dust in the air, sunbeams catching floating motes	dust motes slowly drifting through golden light beams	향수·서정·따뜻함	역광 빔·골든아워	—	LC-12(대기입자) 세트. 감성 코어
WX-21	비 내린 땅 내음	Petrichor Wet-ground Mood	freshly rained-on wet ground, glossy reflective pavement, after-rain	stillness after rain, faint dripping, glossy reflections	정화·차분·여운	젖은 반사·차분한 빛	냄새는 시각 불가(분위기로)	비 갠 뒤 무드
WX-22	장마	Monsoon	monsoon rain, prolonged heavy seasonal rain, grey waterlogged streets	continuous heavy rain, puddles and runoff streaming	눅눅·답답·재난(한국 여름)	폭우·잔뜩 흐림·우산	—	한국 6~7월. 시의성
WX-23	태풍	Typhoon	typhoon, violent storm, bent trees, horizontal driving rain	trees bending violently, debris flying, sheeting rain horizontal	재난·공포·자연력	강풍·폭우·저채도	강한 물리=AI 취약	한국 여름·가을. 재난 보도
WX-24	우박	Hail	hailstorm, ice pellets bouncing off the ground, dented surfaces	hailstones falling fast and bouncing on impact	이변·재난·기후	어두운 폭풍 하늘	낱알 물리 부정확	기후변화 풍자
WX-25	오로라	Aurora	aurora borealis, shimmering green and violet light curtains in the sky	slow rippling waves of colored light across the night sky	경이·환상·비현실	밤하늘·실루엣 전경	한국 현실감 낮음(이변 맥락만)	⚪ 풍자=이변 은유
WX-26	벚꽃/낙엽 흩날림	Falling Cherry Blossoms / Leaves	cherry blossom petals falling / autumn leaves drifting down	petals or leaves drifting and swirling gently in the breeze	계절감·서정·무상	봄=벚꽃·가을=낙엽·바람	—	봄/가을 계절감. WX-13 바람과 세트
