ID	원본	한국어명	전이성	영상 삽입 지시문(영문 — 영상화 각색)	한국어 워딩 예	모션·연출 노트	연계 모듈	리스크	권장 경로
KV-12	—	소프트 다큐 일상	✅	soft documentary look, Portra-style muted greens and gray-blues, natural diffused daylight, unposed candid framing, quiet honest observation	한강 공원의 조용한 일상을 관찰하듯	V11(관찰 다큐)+M16 subtle. 바람에 흩날리는 머리·옷 = 마이크로 모션 소재	V11+STYLE08+LIGHT03	밋밋함 — 환경 디테일로 보강	직접
KV-13	—	러버호스 카툰	✅	vintage 1930s rubber-hose animation, pie-cut eyes, white gloves, rubber-hose limbs bouncing rhythmically, sepia old-film grain and scratches, preserve the person's identity	1930년대 고무호스 애니메이션으로, 인물 특징은 유지	풍자 화풍 치환 주력 — 통통 튀는 리듬 모션이 양식의 본체. 음악 싱크 지시 추가 가치	STYLE13+STYLE07	특정 IP(커프헤드) 디자인 복제 금지	직접
KV-14	—	슈퍼히어로 코믹	✅	classic superhero comic 2D animation, bold black outlines, vivid primary colors, expressive motion lines, halftone texture, exaggerated perspective	클래식 코믹북 화풍의 2D 액션 애니	속도선(motion lines)이 영상에서 실제 모션과 결합 — 액션 1개만	STYLE10+STYLE13+M14	기존 히어로 캐릭터 디자인 금지	직접
KV-15	S-22	글리치 아트	✅	glitch art distortion, pixel displacement, scanline interference, visual corruption pulsing in neon [color1] and [color2], controlled chaos	네온 2색 글리치가 화면을 일그러뜨린다	전환부·시스템 붕괴 메타포에 1~2초만 — 전체 적용은 피로. 색 페어 슬롯 유지	STYLE21+M15(휩팬 전환)	과용 시 식별 불가	직접
KV-16	—	미니미 제품 하이브리드	✅★	realistic product scene with 5-7 tiny 3D SD characters interacting — climbing, waving, photographing — natural shadows and scale, golden-hour light, all characters in motion	실사 제품 위를 미니 캐릭터들이 기어오르고 손 흔든다	정지 금지("all in motion")가 원본 철학 — 영상이 본진. 캐릭터별 액션 1개씩 배분	STYLE12+LIGHT01+S03	캐릭터 수 늘수록 morphing — 3~5로 시작	직접
KV-17	—	3D 플러시	✅	ultra-detailed 3D plush toy character with fluffy fur, rounded shapes, glossy nose, soft studio light, waddling cute movements	보송보송한 봉제인형이 뒤뚱뒤뚱 움직인다	인물 인형화 풍자 — 털 질감은 Kling이 잘 그림. 과격 동작 금지(봉제 물리)	STYLE12+LIGHT15	기존 IP 캐릭터 금지	직접
KV-18	—	픽사 아바타	✅	head-and-shoulders Pixar-style 3D avatar, large expressive eyes, smooth 3D skin, soft cinematic studio light, clean white background, expressive talking	깨끗한 흰 배경의 3D 아바타가 또박또박 말한다	AI 앵커·해설 토킹헤드 포맷 — 한국어 대사+립싱크와 직결. 표정 과장 지시	STYLE12+S07+LIGHT09	언캐니 → stylized 유지	직접
KV-19	S-30	수채 에디토리얼	✅	transparent watercolor animation look, delicate brush strokes, pigment bleeding into the background, paper grain, face kept realistic while clothes dissolve into washes	얼굴은 또렷하고 배경은 수채로 번져 간다	노뮤트 A화풍 친족 — 감성·추모 영상 톤. 느린 무브만	STYLE14+STYLE17+M04(slow)	빠른 모션 = 번짐 붕괴	직접
KV-20	—	플래시 트래블	✅	night portrait with direct-flash look, landmark glowing gold against pitch-black sky, city lights reflecting on water, warm flash on skin vs cool dark background	야경 랜드마크 앞 플래시 인물	KV-05와 동일 주의(플래시=지속광 번역). 랜드마크 명시	LIGHT12+LIGHT02+S05	플리커 위험	직접
KV-21	S-4	프레임 깨기	✅	the subject realistically climbs halfway out of a smartphone screen, believable proportions and physics, sharp phone UI visible	인물이 폰 화면 밖으로 기어 나온다	"튀어나오는 과정"이 영상 개그의 본체 — 3.0보다 Omni. 물리 강조	V09+M01+NEG08	비율 붕괴 — believable proportions 필수	직접
KV-22	S-15	캐릭터 디자인 보드	🅂★	(이미지 단계) cinematic character design board, full-body turnaround front/side/back, expression grid, consistent character	—	★파이프라인 핵심: 나노바나나로 시트 생성 → 4각도 컷을 Omni @참조·주체 등록 소스로 → 멀티샷 인물 일관성 확보	§4 주체 등록	—	스타트프레임/참조 소스
KV-23	S-1·2·3	정지 전용 화풍 9종	🅂	(이미지 단계에서 화풍 적용)	—	직접 영상 전이 비권장(콜라주·그리드·포스터·패키지 = 정지 포맷). 나노바나나로 해당 화풍 이미지 합성 → 스타트 프레임으로 투입하면 전부 영상화 가능 — 프롬프트는 모션·카메라만 기술	§1 정밀 루트	직접 전이 시 글자·레이아웃 붕괴	스타트프레임 경유
KV-24	—	종이·스티커 모션 변종	🟡	paper cutout stop-motion animation, layered paper shapes shifting frame by frame / flat sticker character animating with bold white outline	종이 콜라주가 스톱모션으로 움직인다	실험 영역 — 코마 단위 움직임 지시. 실패 감안 리롤	STYLE15	모션 일관성 리스크	양쪽 시도
